"Table 1.1.4. Price Indexes for Gross Domestic Product"
"[Index numbers, 2009=100]" 
"Bureau of Economic Analysis" 
"Last Revised on: March 30, 2017 - Next Release Date April 28, 2017"
"Line"," ","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"1","        Gross domestic product",9.900,9.519,8.578,7.600,7.396,7.757,7.913,8.009,8.303,8.151,8.049,8.123,8.656,9.375,9.821,10.055,10.308,11.603,12.903,13.629,13.622,13.746,14.675,14.996,15.190,15.346,15.566,16.101,16.663,17.050,17.277,17.516,17.709,17.927,18.129,18.407,18.744,19.271,19.831,20.674,21.691,22.836,23.996,25.035,26.396,28.760,31.431,33.157,35.209,37.680,40.790,44.480,48.658,51.624,53.658,55.564,57.341,58.504,59.935,62.036,64.448,66.841,69.057,70.632,72.315,73.851,75.393,76.767,78.088,78.935,80.065,81.890,83.755,85.040,86.735,89.118,91.985,94.812,97.340,99.218,100.000,101.226,103.315,105.220,106.917,108.838,109.999,111.451
"2","Personal consumption expenditures",9.915,9.495,8.478,7.477,7.211,7.538,7.724,7.795,8.079,7.895,7.819,7.885,8.375,9.418,10.284,10.875,11.310,12.098,13.324,14.078,13.969,14.136,15.098,15.408,15.613,15.746,15.809,16.126,16.616,17.007,17.262,17.546,17.730,17.939,18.148,18.414,18.681,19.155,19.637,20.402,21.326,22.325,23.274,24.070,25.368,28.009,30.348,32.013,34.091,36.479,39.714,43.978,47.908,50.553,52.729,54.724,56.661,57.887,59.650,61.974,64.641,67.440,69.652,71.494,73.279,74.803,76.356,77.981,79.327,79.936,81.110,83.131,84.736,85.873,87.572,89.703,92.261,94.729,97.102,100.065,100.000,101.653,104.149,106.121,107.532,109.150,109.532,110.721
"3","    Goods",15.834,14.991,12.924,11.135,11.043,12.132,12.457,12.506,12.956,12.431,12.243,12.352,13.367,15.578,17.369,18.525,19.373,20.849,23.358,24.736,24.158,24.234,26.190,26.442,26.321,26.221,26.067,26.510,27.339,27.961,28.104,28.324,28.431,28.577,28.815,29.129,29.435,30.083,30.613,31.681,32.908,34.164,35.190,36.091,38.244,43.017,46.492,48.311,50.890,54.014,59.122,65.742,70.626,72.551,73.862,75.259,76.466,76.109,78.557,80.627,83.729,87.158,89.289,90.366,91.151,92.078,92.939,93.960,93.851,92.440,92.925,94.769,94.697,93.806,93.703,95.030,96.951,98.277,99.403,102.362,100.000,101.637,105.413,106.701,106.116,105.727,102.680,101.237
"4","        Durable goods",30.693,28.896,25.801,22.733,22.181,23.513,23.380,23.515,24.483,24.465,24.169,24.413,26.219,30.694,33.480,37.637,39.810,41.454,45.087,47.395,47.719,47.961,51.175,51.494,51.090,49.970,49.777,50.977,52.852,53.813,54.667,54.461,54.599,54.833,55.043,55.291,54.838,54.718,55.597,57.379,58.996,60.269,62.350,63.037,63.970,68.170,74.271,78.333,81.843,86.424,92.152,100.150,106.847,111.015,113.270,114.945,116.162,117.439,120.818,122.811,125.049,126.291,128.143,129.028,130.298,132.848,133.817,132.467,129.574,125.912,122.520,120.339,117.982,115.034,110.885,108.752,107.669,105.915,103.764,101.758,100.000,98.622,97.725,96.413,94.590,92.411,90.463,88.553
"5","        Nondurable goods",11.234,10.651,9.106,7.807,7.767,8.591,8.878,8.910,9.220,8.766,8.627,8.702,9.436,10.984,12.291,13.007,13.578,14.711,16.610,17.627,17.053,17.095,18.561,18.760,18.695,18.739,18.617,18.884,19.438,19.911,19.940,20.178,20.263,20.373,20.576,20.851,21.227,21.906,22.306,23.110,24.109,25.194,25.905,26.736,28.891,33.261,35.831,36.998,39.118,41.618,46.103,51.760,55.757,57.022,58.001,59.207,60.315,59.545,61.570,63.527,66.679,70.501,72.559,73.614,74.212,74.607,75.387,77.094,77.899,77.326,79.248,82.651,83.529,83.538,85.264,88.214,91.592,94.438,97.214,102.653,100.000,103.085,109.188,111.840,111.946,112.595,108.920,107.795
"6","    Services",7.240,7.033,6.537,5.906,5.535,5.464,5.584,5.675,5.886,5.891,5.876,5.922,6.131,6.564,6.974,7.295,7.533,7.990,8.573,9.025,9.179,9.415,9.878,10.239,10.637,10.905,11.093,11.359,11.691,11.978,12.301,12.628,12.856,13.101,13.302,13.550,13.804,14.205,14.677,15.312,16.109,17.003,17.932,18.693,19.600,21.261,23.091,24.691,26.553,28.617,31.008,34.216,37.704,40.638,43.169,45.417,47.677,49.619,51.073,53.501,55.966,58.473,60.698,62.831,65.006,66.763,68.594,70.462,72.428,73.922,75.404,77.502,79.880,81.969,84.533,87.058,89.933,92.976,95.981,98.947,100.000,101.661,103.524,105.840,108.276,110.946,113.149,115.752
"7","Gross private domestic investment",13.804,13.214,12.094,10.226,9.370,9.394,9.280,9.387,10.083,9.787,9.722,9.958,10.680,11.822,12.397,12.884,13.234,14.441,17.101,18.491,18.721,19.107,20.809,21.182,21.232,21.381,21.709,22.950,23.713,23.794,24.019,24.158,24.111,24.137,24.071,24.228,24.601,25.104,25.748,26.715,27.995,29.200,30.647,31.925,33.664,37.022,41.457,43.749,46.973,50.779,55.337,60.516,66.162,69.675,69.889,70.643,71.517,73.124,74.647,76.523,78.470,80.108,81.460,81.431,82.396,83.608,84.933,84.870,84.922,84.309,84.439,85.625,86.436,86.783,87.841,90.646,94.544,98.180,100.001,101.028,100.000,99.109,100.453,101.900,103.454,105.655,106.539,107.518
"8","    Fixed investment",10.281,9.862,9.126,8.068,7.885,8.264,8.309,8.405,9.107,9.221,9.179,9.406,10.091,11.078,11.654,12.135,12.518,13.746,16.080,17.426,17.759,18.155,19.700,20.169,20.346,20.498,20.848,22.041,22.795,22.889,23.117,23.261,23.208,23.235,23.178,23.339,23.720,24.218,24.872,25.870,27.156,28.342,29.759,31.029,32.756,35.996,40.366,42.694,45.970,49.815,54.292,59.357,64.808,68.456,68.717,69.386,70.397,72.120,73.587,75.639,77.587,79.280,80.662,80.678,81.647,82.886,84.242,84.298,84.448,83.995,84.186,85.450,86.268,86.614,87.734,90.546,94.507,98.167,99.988,100.996,100.000,99.180,100.524,102.062,103.670,106.030,107.062,108.216
"9","        Nonresidential",13.151,12.538,11.678,10.575,10.315,10.650,10.768,10.780,11.638,11.714,11.610,11.868,12.638,13.986,14.601,15.044,15.433,16.980,19.653,21.295,21.769,22.222,24.298,24.828,25.066,25.299,25.677,27.590,28.937,29.142,29.536,29.712,29.592,29.619,29.626,29.819,30.151,30.615,31.363,32.481,33.850,35.470,37.133,38.403,39.952,43.837,49.611,52.344,55.812,59.544,64.333,70.012,76.669,81.037,80.903,81.159,81.997,83.436,84.388,86.511,88.518,90.413,92.116,91.773,91.968,92.667,93.558,92.969,92.453,91.011,90.167,90.661,90.393,90.047,89.885,91.141,93.830,96.561,98.574,100.337,100.000,99.070,100.545,102.216,103.023,104.423,105.051,105.489
"10","            Structures",3.838,3.633,3.324,2.885,2.915,2.924,3.060,3.055,3.471,3.405,3.368,3.422,3.662,4.086,4.441,4.539,4.740,5.309,6.436,7.160,7.135,7.224,8.056,8.270,8.432,8.330,8.497,9.223,9.619,9.465,9.516,9.505,9.447,9.522,9.603,9.740,10.023,10.384,10.707,11.245,11.985,12.773,13.756,14.746,15.888,18.085,20.244,21.236,23.078,25.307,28.247,30.873,35.118,37.889,36.925,37.247,38.133,38.863,39.488,41.163,42.775,44.157,44.957,44.967,46.286,47.920,49.996,51.266,53.223,55.659,57.378,59.635,62.762,65.404,67.774,72.879,82.056,92.048,97.620,102.259,100.000,98.844,101.851,105.884,108.116,112.213,112.202,112.445
