        Gross domestic product,Personal consumption expenditures,    Goods,        Durable goods,        Nondurable goods,    Services,Gross private domestic investment,    Fixed investment,        Nonresidential,            Structures,            Equipment,            Intellectual property products,        Residential,    Change in private inventories,Net exports of goods and services,    Exports,        Goods,        Services,    Imports,        Goods,        Services,Government consumption expenditures and gross investment,    Federal,        National defense,        Nondefense,    State and local
9.9,9.915,15.834,30.693,11.234,7.24,13.804,10.281,13.151,3.838,23.083,15.76,5.143,---,---,14.989,18.054,7.385,10.654,10.852,9.54,5.81,7.25,7.139,7.041,3.968
9.519,9.495,14.991,28.896,10.651,7.033,13.214,9.862,12.538,3.633,22.158,15.088,5.032,---,---,13.571,16.15,7.386,9.085,8.954,9.134,5.636,6.932,6.928,6.614,3.862
8.578,8.478,12.924,25.801,9.106,6.537,12.094,9.126,11.678,3.324,21.002,14.136,4.556,---,---,10.678,12.396,6.878,7.342,7.002,8.11,5.359,6.895,6.85,6.623,3.632
7.6,7.477,11.135,22.733,7.807,5.906,10.226,8.068,10.575,2.885,19.809,12.845,3.714,---,---,9.261,10.686,6.173,5.885,5.488,6.873,4.867,6.557,6.679,6.132,3.259
7.396,7.211,11.043,22.181,7.767,5.535,9.37,7.885,10.315,2.915,19.032,11.95,3.658,---,---,9.26,11.181,4.681,5.64,5.492,5.817,4.997,6.576,6.635,6.198,3.372
7.757,7.538,12.132,23.513,8.591,5.464,9.394,8.264,10.65,2.924,20.105,12.163,4.062,---,---,10.737,13.08,5.105,6.408,6.27,6.491,5.377,7.014,6.924,6.684,3.643
7.913,7.724,12.457,23.38,8.878,5.584,9.28,8.309,10.768,3.06,19.927,12.36,4.005,---,---,11.01,13.4,5.268,6.514,6.372,6.605,5.425,7.059,7.156,6.651,3.68
8.009,7.795,12.506,23.515,8.91,5.675,9.387,8.405,10.78,3.055,19.896,12.657,4.2,---,---,11.382,13.722,5.781,6.97,6.84,6.966,5.616,7.681,7.303,7.419,3.698
8.303,8.079,12.956,24.483,9.22,5.886,10.083,9.107,11.638,3.471,21.035,13.149,4.611,---,---,12.138,14.543,6.401,7.778,7.643,7.735,5.733,7.791,7.476,7.5,3.793
8.151,7.895,12.431,24.465,8.766,5.891,9.787,9.221,11.714,3.405,21.541,13.087,4.758,---,---,11.579,13.458,7.272,7.188,6.851,7.984,5.759,7.899,7.499,7.634,3.786
8.049,7.819,12.243,24.169,8.627,5.876,9.722,9.179,11.61,3.368,21.314,13.154,4.788,---,---,11.424,13.162,7.528,7.544,6.975,9.258,5.668,7.764,7.495,7.459,3.729
8.123,7.885,12.352,24.413,8.702,5.922,9.958,9.406,11.868,3.422,21.885,13.36,4.933,---,---,12.39,14.115,8.675,8.047,7.445,9.851,5.618,7.512,7.251,7.21,3.762
8.656,8.375,13.367,26.219,9.436,6.131,10.68,10.091,12.638,3.662,23.277,14.124,5.389,---,---,13.529,15.128,10.401,8.499,7.985,9.848,5.972,7.939,7.705,7.518,4.009
9.375,9.418,15.578,30.694,10.984,6.564,11.822,11.078,13.986,4.086,25.6,15.692,5.788,---,---,16.353,18.423,12.225,9.735,9.25,11.009,6.043,7.883,7.533,8.436,4.413
9.821,10.284,17.369,33.48,12.291,6.974,12.397,11.654,14.601,4.441,25.734,17.332,6.263,---,---,17.888,20.312,13.075,10.479,10.03,11.737,6.034,7.812,7.443,8.779,4.705
10.055,10.875,18.525,37.637,13.007,7.295,12.884,12.135,15.044,4.539,26.229,18.827,6.87,---,---,20.147,23.26,14.082,11.007,10.712,12.082,5.957,7.678,7.301,9.109,4.886
10.308,11.31,19.373,39.81,13.578,7.533,13.234,12.518,15.433,4.74,26.671,19.345,7.334,---,---,19.978,23.165,13.755,11.316,10.973,12.472,6.021,7.741,7.355,9.435,5.063
11.603,12.098,20.849,41.454,14.711,7.99,14.441,13.746,16.98,5.309,29.197,20.375,7.963,---,---,19.307,21.986,14.305,12.617,12.363,13.623,7.625,10.12,9.772,10.709,5.55
12.903,13.324,23.358,45.087,16.61,8.573,17.101,16.08,19.653,6.436,33.076,22.372,9.538,---,---,22.416,26.157,14.537,15.116,15.18,15.219,8.301,10.852,10.66,10.662,6.246
13.629,14.078,24.736,47.395,17.627,9.025,18.491,17.426,21.295,7.16,35.462,23.532,10.34,---,---,23.611,27.844,14.379,16.428,16.764,15.757,8.614,10.776,10.631,10.406,6.989
13.622,13.969,24.158,47.719,17.053,9.179,18.721,17.759,21.769,7.135,36.873,23.574,10.477,---,---,22.202,25.795,14.696,15.657,15.869,15.321,8.841,11.175,10.928,11.08,7.056
13.746,14.136,24.234,47.961,17.095,9.415,19.107,18.155,22.222,7.224,37.802,24.126,10.736,---,---,21.62,24.938,14.841,16.631,17.166,15.351,8.912,11.271,11.118,10.878,7.106
14.675,15.098,26.19,51.175,18.561,9.878,20.809,19.7,24.298,8.056,41.013,25.609,11.505,---,---,24.427,28.589,15.621,20.101,21.551,16.257,9.447,11.7,11.438,11.76,7.807
14.996,15.408,26.442,51.494,18.76,10.239,21.182,20.169,24.828,8.27,41.84,25.933,11.821,---,---,24.576,28.463,16.513,19.373,20.488,16.292,9.645,11.835,11.505,12.398,8.149
15.19,15.613,26.321,51.09,18.695,10.637,21.232,20.346,25.066,8.432,41.93,26.386,11.906,---,---,24.507,28.175,17.006,18.541,19.61,15.59,9.757,11.934,11.554,12.882,8.311
15.346,15.746,26.221,49.97,18.739,10.905,21.381,20.498,25.299,8.33,42.934,26.558,11.955,---,---,24.174,27.774,16.822,18.793,20.031,15.547,9.966,12.222,11.856,13.025,8.436
15.566,15.809,26.067,49.777,18.617,11.093,21.709,20.848,25.677,8.497,43.353,27.238,12.203,---,---,24.38,28.037,16.899,18.693,19.977,15.381,10.355,12.812,12.457,13.455,8.61
16.101,16.126,26.51,50.977,18.884,11.359,22.95,22.041,27.59,9.223,46.578,28.257,12.514,---,---,25.196,29.1,17.121,19.023,20.369,15.589,10.912,13.436,13.141,13.592,9.154
16.663,16.616,27.339,52.852,19.438,11.691,23.713,22.795,28.937,9.619,49.2,29.155,12.547,---,---,26.151,30.047,18.195,19.239,20.551,15.846,11.387,14.027,13.719,14.187,9.545
17.05,17.007,27.961,53.813,19.911,11.978,23.794,22.889,29.142,9.465,50.159,29.861,12.517,---,---,25.887,29.719,18.072,18.44,19.477,15.517,11.732,14.576,14.236,14.889,9.691
17.277,17.262,28.104,54.667,19.94,12.301,24.019,23.117,29.536,9.516,51.078,30.347,12.553,---,---,25.939,30.007,17.648,18.606,19.619,15.709,11.883,14.707,14.338,15.233,9.877
17.516,17.546,28.324,54.461,20.178,12.628,24.158,23.261,29.712,9.505,51.509,30.81,12.639,---,---,26.306,30.209,18.275,18.784,19.828,15.823,12.022,14.814,14.442,15.347,10.062
17.709,17.73,28.431,54.599,20.263,12.856,24.111,23.208,29.592,9.447,51.229,31.01,12.658,---,---,26.707,30.784,18.338,18.784,19.639,16.128,12.244,15.004,14.58,15.801,10.333
17.927,17.939,28.577,54.833,20.373,13.101,24.137,23.235,29.619,9.522,50.987,31.161,12.678,---,---,26.773,30.543,18.97,18.562,19.17,16.339,12.479,15.224,14.768,16.161,10.602
18.129,18.148,28.815,55.043,20.576,13.302,24.071,23.178,29.626,9.603,50.722,31.201,12.579,---,---,26.712,30.445,18.982,18.923,19.346,17.01,12.782,15.606,15.162,16.459,10.847
18.407,18.414,29.129,55.291,20.851,13.55,24.228,23.339,29.819,9.74,50.694,31.682,12.677,---,---,26.931,30.651,19.222,19.322,19.868,17.154,13.115,16.086,15.587,17.133,11.058
18.744,18.681,29.435,54.838,21.227,13.804,24.601,23.72,30.151,10.023,50.76,31.905,13.033,---,---,27.79,31.718,19.66,19.59,19.966,17.752,13.47,16.482,15.992,17.479,11.392
19.271,19.155,30.083,54.718,21.906,14.205,25.104,24.218,30.615,10.384,50.924,32.389,13.505,---,---,28.634,32.801,20.027,20.047,20.416,18.198,14.006,17.039,16.554,17.99,11.937
19.831,19.637,30.613,55.597,22.306,14.677,25.748,24.872,31.363,10.707,52.089,32.883,13.97,---,---,29.736,34.176,20.59,20.125,20.445,18.375,14.486,17.418,16.948,18.292,12.543
20.674,20.402,31.681,57.379,23.11,15.312,26.715,25.87,32.481,11.245,53.519,34.032,14.709,---,---,30.376,34.702,21.409,20.43,20.72,18.733,15.264,18.291,17.793,19.228,13.276
21.691,21.326,32.908,58.996,24.109,16.109,27.995,27.156,33.85,11.985,55.032,35.531,15.743,---,---,31.391,35.778,22.279,20.963,21.304,19.115,16.157,19.221,18.687,20.251,14.18
22.836,22.325,34.164,60.269,25.194,17.003,29.2,28.342,35.47,12.773,57.092,37.225,16.249,---,---,32.623,37.396,22.756,22.203,22.752,19.797,17.439,20.726,20.077,22.099,15.323
23.996,23.274,35.19,62.35,25.905,17.932,30.647,29.759,37.133,13.756,58.898,38.587,17.19,---,---,33.811,38.397,24.234,23.566,23.918,21.589,18.823,22.415,21.744,23.799,16.505
25.035,24.07,36.091,63.037,26.736,18.693,31.925,31.029,38.403,14.746,59.671,39.738,18.236,---,---,35.297,39.422,26.5,25.217,25.75,22.664,20.241,24.368,23.987,24.926,17.56
26.396,25.368,38.244,63.97,28.891,19.6,33.664,32.756,39.952,15.888,60.68,41.705,19.856,---,---,39.938,45.62,27.816,29.6,30.351,26.217,21.583,25.995,25.631,26.484,18.716
28.76,28.009,43.017,68.17,33.261,21.261,37.022,35.996,43.837,18.085,65.231,45.598,21.907,---,---,49.205,57.426,31.328,42.348,45.418,31.176,23.635,28.042,27.692,28.468,20.767
31.431,30.348,46.492,74.271,35.831,23.091,41.457,40.366,49.611,20.244,75.167,49.258,23.933,---,---,54.232,63.736,33.492,45.874,49.223,33.706,25.809,30.478,29.955,31.26,22.768
33.157,32.013,48.311,78.333,36.998,24.691,43.749,42.694,52.344,21.236,79.781,51.435,25.483,---,---,56.012,65.464,35.43,47.255,50.539,35.227,27.21,32.352,31.85,33.066,23.868
35.209,34.091,50.89,81.843,39.118,26.553,46.973,45.97,55.812,23.078,84.683,53.693,28.084,---,---,58.294,67.894,37.418,51.418,55.169,37.731,28.873,34.256,33.854,34.741,25.372
37.68,36.479,54.014,86.424,41.618,28.617,50.779,49.815,59.544,25.307,89.387,56.488,31.533,---,---,61.846,71.805,40.215,55.049,58.848,41.158,30.724,36.425,36.154,36.623,27.017
40.79,39.714,59.122,92.152,46.103,31.008,55.337,54.292,64.333,28.247,95.169,60.243,35.094,---,---,69.291,81.112,43.524,64.463,69.393,46.481,33.206,39.045,38.84,39.088,29.399
44.48,43.978,65.742,100.15,51.76,34.216,60.516,59.357,70.012,30.873,103.547,64.895,38.88,---,---,76.319,88.878,49.067,80.294,87.563,53.944,36.641,42.862,42.887,42.416,32.582
48.658,47.908,70.626,106.847,55.757,37.704,66.162,64.808,76.669,35.118,111.123,69.739,42.026,---,---,81.972,95.193,53.345,84.611,92.438,56.29,40.215,46.949,47.111,46.19,35.822
51.624,50.553,72.551,111.015,57.022,40.638,69.675,68.456,81.037,37.889,115.712,73.699,44.28,---,---,82.349,94.393,56.366,81.76,88.704,56.335,42.822,50.184,50.518,49.025,38.01
53.658,52.729,73.862,113.27,58.001,43.169,69.889,68.717,80.903,36.925,116.045,76.451,45.328,---,---,82.675,93.829,58.609,78.695,84.996,55.409,44.478,51.828,52.252,50.452,39.698
55.564,54.724,75.259,114.945,59.207,45.417,70.643,69.386,81.159,37.247,115.097,78.594,46.671,---,---,83.444,94.669,59.222,78.015,84.411,54.457,46.272,53.779,54.314,52.123,41.405
57.341,56.661,76.466,116.162,60.315,47.677,71.517,70.397,81.997,38.133,115.097,79.901,47.953,---,---,80.966,89.955,61.354,75.452,81.089,54.39,47.71,54.92,55.228,53.836,43.095
58.504,57.887,76.109,117.439,59.545,49.619,73.124,72.12,83.436,38.863,117.409,80.523,50.068,---,---,79.596,86.838,63.45,75.451,79.273,60.283,48.536,55.227,55.327,54.69,44.339
59.935,59.65,78.557,120.818,61.57,51.073,74.647,73.587,84.388,39.488,118.174,81.965,52.234,---,---,81.381,88.821,64.809,80.02,84.926,61.139,49.868,55.653,55.787,55.026,46.407
62.036,61.974,80.627,122.811,63.527,53.501,76.523,75.639,86.511,41.163,119.808,84.52,54.052,---,---,85.55,94.299,66.253,83.849,88.972,64.121,51.468,57.361,57.389,57.029,47.955
64.448,64.641,83.729,125.049,66.679,55.966,78.47,77.587,88.518,42.775,122.098,85.586,55.819,---,---,86.97,95.509,68.088,85.681,91.462,63.782,53.45,58.929,58.897,58.756,50.275
66.841,67.44,87.158,126.291,70.501,58.473,80.108,79.28,90.413,44.157,124.594,86.456,57.105,---,---,87.461,94.667,71.314,88.138,93.141,68.561,55.673,60.807,60.88,60.347,52.781
69.057,69.652,89.289,128.143,72.559,60.698,81.46,80.662,92.116,44.957,126.705,88.505,57.848,---,---,88.436,94.624,74.358,87.404,91.38,71.069,57.672,63.068,62.888,63.228,54.621
70.632,71.494,90.366,129.028,73.614,62.831,81.431,80.678,91.773,44.967,126.513,87.461,58.561,---,---,88.004,93.145,76.105,87.474,90.881,73.064,59.473,64.642,64.661,64.333,56.599
72.315,73.279,91.151,130.298,74.212,65.006,82.396,81.647,91.968,46.286,125.034,88.068,60.945,---,---,88.139,92.675,77.506,86.804,89.865,73.684,60.893,66.04,65.636,66.638,58.046
73.851,74.803,92.078,132.848,74.607,66.763,83.608,82.886,92.667,47.92,124.812,88.422,63.15,---,---,89.159,93.728,78.446,87.619,90.52,75.13,62.51,67.79,67.261,68.639,59.591
75.393,76.356,92.939,133.817,75.387,68.594,84.933,84.242,93.558,49.996,123.445,90.901,65.408,---,---,91.153,95.954,79.922,90.02,92.933,77.475,64.324,69.945,69.266,71.086,61.209
76.767,77.981,93.96,132.467,77.094,70.462,84.87,84.298,92.969,51.266,120.646,91.212,66.812,---,---,89.937,93.514,81.498,88.451,90.577,79.408,65.656,71.129,70.451,72.267,62.624
78.088,79.327,93.851,129.574,77.899,72.428,84.922,84.448,92.453,53.223,117.318,91.725,68.424,---,---,88.349,90.918,82.324,85.376,86.836,79.406,66.932,72.224,71.435,73.566,63.998
78.935,79.936,92.44,125.912,77.326,73.922,84.309,83.995,91.011,55.659,112.054,91.32,70.229,---,---,86.258,88.051,82.152,80.779,81.59,77.853,68.068,73.059,72.23,74.471,65.287
80.065,81.11,92.925,122.52,79.248,75.404,84.439,84.186,90.167,57.378,107.728,93.074,72.86,---,---,85.578,86.859,82.772,81.28,81.687,80.428,70.403,74.867,74.034,76.285,67.877
81.89,83.131,94.769,120.339,82.651,77.502,85.625,85.45,90.661,59.635,105.386,96.128,76.093,---,---,87.159,88.365,84.544,84.818,85.988,80.012,73.431,77.341,76.467,78.829,71.162
83.755,84.736,94.697,117.982,83.529,79.88,86.436,86.268,90.393,62.762,102.28,96.408,79.705,---,---,86.649,87.85,84.047,82.716,83.548,79.636,75.559,78.748,77.874,80.237,73.628
85.04,85.873,93.806,115.034,83.538,81.969,86.783,86.614,90.047,65.404,100.246,95.408,81.679,---,---,86.092,87.205,83.702,81.712,82.085,80.973,77.426,81.31,80.529,82.645,75.143
86.735,87.572,93.703,110.885,85.264,84.533,87.841,87.734,89.885,67.774,98.52,95.193,85.549,---,---,87.786,88.991,85.185,84.512,84.553,85.548,80.341,84.773,84.475,85.297,77.761
