"Table 1.1.4. Price Indexes for Gross Domestic Product"
"[Index numbers, 2009=100] Seasonally adjusted" 
"Bureau of Economic Analysis" 
"Last Revised on: March 30, 2017 - Next Release Date April 28, 2017"
"Line"," ","1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014","2015","2015","2015","2015","2016","2016","2016","2016"
"Line"," ","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV"
"1","        Gross domestic product",12.607,12.779,12.979,13.246,13.395,13.552,13.788,13.782,13.738,13.652,13.547,13.551,13.506,13.564,13.847,14.067,14.539,14.623,14.671,14.865,14.883,14.941,15.053,15.107,15.124,15.158,15.215,15.262,15.326,15.355,15.341,15.363,15.422,15.509,15.616,15.719,15.875,16.025,16.201,16.303,16.487,16.604,16.733,16.830,16.970,17.042,17.083,17.104,17.189,17.237,17.308,17.375,17.410,17.473,17.552,17.631,17.651,17.688,17.727,17.769,17.859,17.908,17.950,17.992,18.080,18.094,18.112,18.231,18.300,18.355,18.447,18.526,18.606,18.692,18.778,18.900,19.016,19.189,19.359,19.518,19.600,19.717,19.894,20.112,20.332,20.559,20.757,21.047,21.259,21.540,21.847,22.120,22.425,22.749,22.935,23.234,23.589,23.905,24.146,24.345,24.742,24.891,25.111,25.394,25.720,26.142,26.631,27.092,27.644,28.262,29.124,30.008,30.686,31.134,31.688,32.216,32.563,32.889,33.309,33.868,34.411,34.952,35.437,36.034,36.637,37.338,37.987,38.759,39.470,40.411,41.235,42.044,42.955,43.895,44.903,46.165,47.358,48.197,49.096,49.980,50.652,51.278,52.001,52.566,53.013,53.371,53.929,54.320,54.885,55.370,55.827,56.174,56.839,57.161,57.528,57.837,58.118,58.334,58.606,58.960,59.306,59.694,60.135,60.605,61.075,61.681,62.426,62.961,63.602,64.271,64.744,65.174,65.901,66.580,67.180,67.702,68.373,68.832,69.328,69.694,70.014,70.457,70.785,71.275,71.704,72.136,72.504,72.913,73.291,73.652,74.021,74.440,74.890,75.226,75.548,75.908,76.296,76.584,76.932,77.257,77.637,77.998,78.225,78.493,78.606,78.786,79.071,79.278,79.575,79.908,80.191,80.585,81.184,81.631,82.154,82.591,83.117,83.699,83.970,84.233,84.480,84.829,85.204,85.649,86.184,86.463,86.932,87.363,88.115,88.856,89.438,90.063,90.894,91.549,92.399,93.098,93.816,94.589,95.250,95.591,96.659,97.216,97.538,97.945,98.506,98.941,99.619,99.805,100.045,99.889,99.882,100.183,100.517,100.981,101.444,101.963,102.409,103.170,103.770,103.913,104.466,104.930,105.547,105.937,106.318,106.565,107.112,107.674,108.140,108.714,109.178,109.321,109.307,109.922,110.268,110.498,110.635,111.268,111.662,112.238
"2","Personal consumption expenditures",13.040,13.145,13.390,13.723,13.875,14.018,14.233,14.188,14.076,13.990,13.910,13.899,13.876,13.943,14.235,14.488,14.949,15.068,15.088,15.288,15.353,15.350,15.451,15.477,15.536,15.560,15.644,15.713,15.792,15.770,15.718,15.703,15.755,15.771,15.834,15.878,15.943,16.051,16.208,16.303,16.450,16.554,16.687,16.773,16.979,17.009,17.023,17.018,17.137,17.204,17.307,17.401,17.424,17.516,17.583,17.661,17.694,17.692,17.757,17.777,17.856,17.918,17.965,18.018,18.069,18.095,18.181,18.249,18.336,18.378,18.440,18.503,18.562,18.655,18.725,18.782,18.928,19.083,19.230,19.379,19.436,19.528,19.708,19.877,20.087,20.291,20.502,20.729,20.933,21.201,21.462,21.710,21.962,22.205,22.421,22.712,22.927,23.189,23.417,23.563,23.812,23.950,24.161,24.358,24.652,25.127,25.584,26.108,26.884,27.645,28.392,29.114,29.664,30.030,30.592,31.105,31.449,31.711,32.192,32.700,33.285,33.855,34.366,34.859,35.439,36.170,36.806,37.502,38.205,39.246,40.217,41.187,42.419,43.456,44.470,45.568,46.749,47.530,48.308,49.044,49.660,50.135,50.925,51.491,51.936,52.416,53.106,53.458,54.034,54.558,54.981,55.323,55.985,56.456,56.906,57.296,57.706,57.637,57.930,58.275,58.821,59.380,59.937,60.463,60.934,61.607,62.366,62.990,63.696,64.543,64.910,65.417,66.350,66.946,67.787,68.676,69.017,69.384,69.854,70.355,70.788,71.258,71.712,72.217,72.646,73.136,73.455,73.877,74.139,74.552,75.084,75.437,75.798,76.226,76.531,76.868,77.299,77.810,78.142,78.671,79.017,79.212,79.415,79.662,79.657,79.799,80.041,80.244,80.453,80.884,81.310,81.792,82.476,82.853,83.368,83.829,84.387,84.790,84.855,84.911,85.067,85.722,86.155,86.550,87.161,87.235,87.769,88.124,88.797,89.421,89.942,90.652,91.122,91.728,92.734,93.458,93.890,94.613,95.289,95.125,96.011,96.774,97.322,98.298,99.140,100.177,101.196,99.745,99.182,99.627,100.254,100.937,101.282,101.396,101.696,102.237,103.002,104.043,104.595,104.956,105.563,105.885,106.232,106.804,107.184,107.229,107.625,108.089,108.621,109.133,109.425,109.422,108.979,109.472,109.784,109.892,109.969,110.519,110.921,111.477
"3","    Goods",22.862,23.082,23.435,24.052,24.397,24.658,25.038,24.851,24.543,24.264,23.983,23.842,23.713,23.845,24.431,24.947,25.963,26.185,26.150,26.462,26.526,26.372,26.470,26.401,26.378,26.302,26.299,26.305,26.424,26.323,26.135,26.002,26.039,26.016,26.102,26.109,26.183,26.377,26.664,26.815,27.053,27.260,27.473,27.568,28.020,28.033,27.962,27.830,28.016,28.050,28.138,28.212,28.172,28.313,28.353,28.460,28.495,28.377,28.450,28.402,28.486,28.551,28.596,28.676,28.708,28.711,28.886,28.954,29.091,29.082,29.136,29.206,29.271,29.441,29.513,29.514,29.783,29.999,30.188,30.362,30.338,30.410,30.734,30.970,31.257,31.522,31.812,32.132,32.356,32.744,33.112,33.421,33.743,34.018,34.255,34.637,34.820,35.151,35.344,35.445,35.804,35.918,36.195,36.447,37.029,37.882,38.602,39.461,41.016,42.380,43.697,44.974,45.634,45.984,46.858,47.493,47.725,47.884,48.474,49.163,49.941,50.647,51.174,51.801,52.507,53.619,54.495,55.433,56.772,58.407,59.923,61.384,63.583,65.125,66.453,67.807,69.483,70.348,71.039,71.635,72.042,72.196,72.938,73.028,73.034,73.758,74.268,74.387,74.984,75.165,75.328,75.559,76.041,76.413,76.472,76.939,76.687,75.594,75.945,76.208,77.533,78.300,78.980,79.414,79.531,80.202,81.089,81.687,82.556,83.991,84.010,84.360,85.909,86.235,87.453,89.037,88.983,89.159,89.322,89.691,89.795,90.176,90.637,90.858,91.022,91.101,90.998,91.485,91.388,91.706,92.551,92.668,92.778,92.968,92.993,93.015,93.635,94.048,93.870,94.287,94.397,93.887,93.622,93.497,92.770,92.402,92.376,92.212,92.118,92.780,93.241,93.561,94.289,94.726,94.978,95.082,95.075,95.229,94.750,93.735,93.325,93.983,93.972,93.942,94.475,93.171,93.616,93.549,94.315,94.850,94.925,96.031,95.860,96.217,97.814,97.912,97.845,98.604,99.178,97.481,98.173,99.253,99.479,100.708,101.735,102.949,104.684,100.081,98.386,99.422,100.687,101.505,101.786,101.147,101.307,102.308,103.795,105.584,106.095,106.178,106.733,106.517,106.581,106.973,106.829,105.823,105.912,105.901,106.047,106.111,105.845,104.905,102.728,103.043,102.806,102.144,101.109,101.301,101.083,101.454
"4","        Durable goods",44.508,44.917,45.168,45.757,46.106,46.711,48.337,48.424,48.262,47.946,47.363,47.306,47.162,47.523,48.182,48.977,50.788,51.127,51.146,51.640,51.992,51.379,51.911,50.692,51.186,51.244,50.916,51.015,51.422,50.130,49.308,49.021,49.326,49.568,50.040,50.173,50.364,50.472,51.202,51.870,52.287,53.010,53.005,53.108,54.052,53.834,53.779,53.587,54.522,54.730,54.721,54.697,54.617,54.552,54.385,54.290,54.299,54.556,54.804,54.736,54.744,54.815,54.995,54.779,54.796,54.964,55.119,55.293,55.373,55.341,55.281,55.171,55.180,55.007,54.733,54.432,54.359,54.593,54.834,55.085,54.970,55.212,55.821,56.385,56.750,57.096,57.572,58.097,58.436,58.874,59.155,59.520,59.622,59.857,60.297,61.300,62.168,62.610,62.471,62.150,62.686,63.007,63.329,63.126,63.387,63.886,64.202,64.407,65.120,66.769,69.313,71.480,72.600,73.905,74.715,75.864,76.889,77.743,78.684,80.015,80.838,81.249,82.094,83.192,84.385,85.672,87.059,88.583,90.021,91.605,92.657,94.326,97.091,99.383,101.195,102.929,104.237,106.202,107.772,109.175,110.092,110.949,111.346,111.670,112.470,112.890,113.508,114.214,114.247,114.956,115.184,115.395,115.983,116.253,116.055,116.356,116.382,116.918,117.894,118.562,119.561,120.498,121.360,121.854,121.642,122.315,123.186,124.102,124.731,124.832,125.113,125.523,126.190,126.203,126.259,126.514,127.596,127.917,128.391,128.667,128.661,129.012,129.118,129.320,129.255,129.936,130.569,131.431,131.735,132.521,133.455,133.682,134.217,134.071,133.639,133.342,133.442,132.563,132.217,131.645,131.137,129.873,129.003,128.283,127.341,126.391,125.425,124.492,123.445,122.831,122.264,121.538,120.973,120.717,119.978,119.689,119.152,118.306,117.525,116.946,115.926,115.360,114.801,114.051,112.601,111.388,110.274,109.278,109.190,109.104,108.280,108.432,108.211,108.074,107.312,107.078,106.653,106.186,105.737,105.086,104.560,104.090,103.408,102.999,102.678,101.892,101.610,100.853,100.346,100.216,99.539,99.899,99.506,98.902,98.275,97.803,97.672,98.068,97.841,97.317,97.105,96.676,96.122,95.749,95.464,94.878,94.260,93.757,93.198,92.751,92.202,91.494,90.977,90.829,90.231,89.813,89.619,89.045,88.128,87.418
"5","        Nondurable goods",16.217,16.375,16.671,17.175,17.457,17.632,17.803,17.619,17.350,17.127,16.932,16.804,16.698,16.775,17.256,17.652,18.397,18.564,18.524,18.758,18.777,18.707,18.740,18.817,18.736,18.657,18.696,18.690,18.752,18.814,18.739,18.652,18.651,18.598,18.616,18.605,18.649,18.823,19.003,19.061,19.237,19.341,19.547,19.625,19.938,19.976,19.915,19.814,19.875,19.880,19.966,20.040,20.012,20.156,20.216,20.329,20.360,20.218,20.255,20.217,20.296,20.350,20.370,20.476,20.505,20.485,20.635,20.677,20.801,20.797,20.860,20.945,21.008,21.206,21.323,21.371,21.658,21.841,21.994,22.132,22.126,22.161,22.393,22.544,22.777,22.993,23.213,23.456,23.630,23.960,24.295,24.553,24.869,25.114,25.283,25.509,25.550,25.817,26.043,26.209,26.495,26.557,26.791,27.100,27.678,28.513,29.238,30.136,31.690,32.848,33.773,34.731,35.226,35.353,36.140,36.605,36.651,36.649,37.105,37.586,38.274,38.976,39.380,39.841,40.372,41.341,42.021,42.739,43.932,45.422,46.894,48.165,50.018,51.240,52.325,53.457,55.037,55.582,56.020,56.390,56.651,56.648,57.379,57.411,57.252,57.969,58.406,58.379,59.059,59.095,59.229,59.444,59.859,60.227,60.348,60.825,60.519,59.075,59.228,59.357,60.681,61.348,61.932,62.319,62.521,63.150,63.984,64.454,65.337,67.060,67.003,67.315,69.016,69.411,70.870,72.706,72.345,72.465,72.531,72.897,73.023,73.387,73.915,74.129,74.350,74.255,73.947,74.295,74.084,74.244,75.012,75.090,75.067,75.347,75.508,75.627,76.374,77.172,77.058,77.773,78.081,77.844,77.794,77.877,77.254,77.102,77.413,77.536,77.800,78.926,79.773,80.493,81.725,82.438,83.087,83.354,83.574,84.142,83.796,82.603,82.457,83.644,83.878,84.174,85.585,84.256,85.423,85.790,86.954,87.777,88.282,89.844,89.694,90.291,93.062,93.321,93.427,94.792,95.873,93.660,94.963,96.824,97.506,99.564,101.258,103.455,106.172,99.727,97.471,99.042,101.224,102.262,102.868,102.216,102.763,104.492,106.784,109.270,110.151,110.548,111.511,111.413,111.814,112.625,112.560,111.324,111.815,112.086,112.637,113.000,112.906,111.837,108.682,109.275,109.264,108.459,106.917,107.582,107.809,108.873
"6","    Services",8.389,8.435,8.637,8.832,8.884,8.971,9.106,9.140,9.133,9.152,9.182,9.248,9.287,9.322,9.464,9.586,9.761,9.832,9.885,10.035,10.105,10.185,10.293,10.373,10.482,10.562,10.700,10.806,10.868,10.889,10.908,10.956,11.019,11.059,11.113,11.180,11.245,11.311,11.405,11.476,11.580,11.634,11.733,11.818,11.903,11.944,12.001,12.062,12.151,12.238,12.353,12.461,12.518,12.586,12.670,12.736,12.769,12.825,12.887,12.942,13.020,13.083,13.130,13.172,13.234,13.272,13.316,13.385,13.450,13.518,13.586,13.647,13.704,13.762,13.832,13.919,14.007,14.137,14.267,14.408,14.507,14.612,14.725,14.865,15.042,15.222,15.398,15.585,15.785,16.000,16.214,16.439,16.661,16.893,17.103,17.356,17.590,17.823,18.073,18.243,18.443,18.596,18.779,18.955,19.114,19.412,19.750,20.121,20.535,21.020,21.508,21.982,22.484,22.857,23.281,23.740,24.134,24.446,24.879,25.306,25.807,26.318,26.826,27.260,27.786,28.345,28.874,29.462,29.876,30.650,31.377,32.128,32.928,33.739,34.609,35.588,36.547,37.285,38.097,38.887,39.589,40.197,41.000,41.766,42.396,42.767,43.531,43.982,44.544,45.220,45.757,46.148,46.888,47.404,48.029,48.386,49.093,49.489,49.756,50.140,50.333,50.797,51.298,51.863,52.489,53.161,53.861,54.494,55.124,55.709,56.228,56.801,57.458,58.167,58.840,59.428,59.931,60.376,60.968,61.518,62.080,62.580,63.025,63.640,64.172,64.826,65.317,65.707,66.117,66.566,66.960,67.410,67.874,68.397,68.818,69.286,69.633,70.181,70.730,71.303,71.748,72.248,72.653,73.062,73.375,73.741,74.102,74.470,74.818,75.141,75.551,76.107,76.767,77.115,77.749,78.375,79.194,79.712,80.027,80.586,81.009,81.661,82.304,82.901,83.550,84.287,84.864,85.430,86.057,86.726,87.467,87.981,88.771,89.502,90.212,91.249,91.931,92.636,93.364,93.975,94.960,95.563,96.276,97.126,97.878,98.831,99.500,99.578,99.560,99.727,100.048,100.665,101.037,101.518,101.887,102.202,102.610,103.280,103.853,104.353,104.985,105.578,106.067,106.730,107.379,107.968,108.523,109.235,109.969,110.716,111.303,111.797,112.275,112.863,113.469,113.990,114.663,115.405,116.142,116.798
"7","Gross private domestic investment",16.299,16.922,17.486,17.697,17.925,18.310,18.812,18.919,18.865,18.830,18.634,18.554,18.531,18.806,19.329,19.761,20.476,20.796,20.886,21.077,21.149,21.214,21.231,21.135,21.106,21.193,21.345,21.286,21.324,21.404,21.392,21.403,21.410,21.544,21.800,22.083,22.536,22.780,23.158,23.327,23.547,23.643,23.790,23.874,23.673,23.793,23.830,23.883,23.888,23.996,24.073,24.118,24.146,24.179,24.170,24.137,24.101,24.115,24.112,24.118,24.134,24.148,24.144,24.122,24.122,24.079,24.009,24.076,24.010,24.201,24.237,24.463,24.476,24.524,24.570,24.833,24.745,25.122,25.133,25.418,25.519,25.629,25.773,26.069,26.327,26.563,26.710,27.260,27.562,27.854,28.097,28.468,28.696,29.293,29.233,29.578,30.094,30.521,30.854,31.118,31.483,31.700,32.030,32.485,32.777,33.361,34.057,34.463,35.177,36.228,37.644,39.040,40.376,41.302,41.793,42.359,42.732,43.457,44.068,44.739,45.647,46.491,47.400,48.353,49.273,50.272,51.263,52.309,53.374,54.716,56.054,57.205,58.543,59.914,61.159,62.447,64.232,65.654,66.738,68.024,68.785,69.616,70.073,70.227,70.049,69.788,69.754,69.966,70.179,70.568,70.833,70.990,71.186,71.285,71.575,72.022,72.353,72.826,73.395,73.922,74.240,74.436,74.641,75.272,75.838,76.296,76.603,77.355,77.797,78.290,78.693,79.101,79.571,79.849,80.342,80.669,81.385,81.483,81.617,81.355,81.166,81.303,81.491,81.764,82.020,82.326,82.522,82.715,83.197,83.429,83.729,84.076,84.604,84.913,85.144,85.071,84.882,84.727,84.976,84.896,84.913,84.925,84.981,84.869,84.489,84.285,84.212,84.251,84.371,84.426,84.341,84.618,85.142,85.473,85.857,86.029,86.111,86.375,86.592,86.665,86.601,86.637,86.725,87.171,87.533,87.545,87.834,88.453,89.281,90.238,91.100,91.963,92.943,93.899,95.061,96.273,97.216,97.851,98.413,99.241,99.855,100.008,100.024,100.116,100.282,100.475,100.983,102.371,101.684,100.262,99.058,98.996,98.798,98.932,99.100,99.608,99.926,100.371,100.645,100.870,101.283,101.747,102.165,102.407,102.730,103.211,103.698,104.176,104.943,105.314,105.951,106.412,106.395,106.358,106.663,106.742,106.889,107.366,107.649,108.171
"8","    Fixed investment",15.363,15.942,16.340,16.676,16.842,17.210,17.731,17.921,17.892,17.866,17.672,17.607,17.605,17.889,18.390,18.735,19.353,19.645,19.799,20.002,20.095,20.184,20.219,20.178,20.196,20.307,20.465,20.416,20.433,20.512,20.513,20.533,20.552,20.690,20.940,21.209,21.643,21.877,22.239,22.404,22.618,22.720,22.873,22.968,22.785,22.886,22.921,22.964,22.996,23.095,23.167,23.209,23.241,23.282,23.277,23.243,23.198,23.216,23.208,23.211,23.228,23.249,23.242,23.220,23.224,23.190,23.119,23.181,23.114,23.314,23.347,23.581,23.596,23.642,23.691,23.954,23.852,24.244,24.246,24.531,24.628,24.748,24.906,25.204,25.472,25.714,25.869,26.424,26.728,27.016,27.263,27.618,27.840,28.438,28.379,28.711,29.210,29.621,29.966,30.240,30.613,30.819,31.122,31.562,31.881,32.444,33.128,33.571,34.231,35.215,36.556,37.984,39.282,40.208,40.686,41.287,41.686,42.410,43.005,43.677,44.592,45.424,46.433,47.432,48.335,49.333,50.295,51.300,52.367,53.701,54.994,56.108,57.415,58.736,60.001,61.275,62.877,64.270,65.364,66.719,67.543,68.400,68.844,69.035,68.823,68.622,68.637,68.785,68.936,69.276,69.555,69.778,70.023,70.155,70.481,70.931,71.297,71.839,72.439,72.905,73.181,73.347,73.561,74.260,74.909,75.389,75.772,76.487,76.914,77.410,77.798,78.227,78.700,79.009,79.491,79.919,80.585,80.726,80.800,80.538,80.406,80.551,80.740,81.016,81.299,81.577,81.734,81.979,82.428,82.694,83.047,83.374,83.885,84.199,84.450,84.435,84.308,84.155,84.381,84.347,84.373,84.425,84.544,84.450,84.141,83.964,83.918,83.956,84.089,84.171,84.098,84.384,84.940,85.299,85.689,85.873,85.926,86.221,86.435,86.490,86.404,86.453,86.567,87.031,87.425,87.433,87.725,88.354,89.176,90.138,91.005,91.866,92.868,93.854,95.051,96.255,97.202,97.854,98.394,99.218,99.844,100.002,100.024,100.084,100.293,100.518,101.227,101.944,101.367,100.158,99.220,99.255,98.987,99.024,99.138,99.571,99.950,100.455,100.718,100.973,101.490,101.909,102.312,102.538,102.877,103.387,103.910,104.507,105.321,105.700,106.325,106.775,106.916,106.849,107.184,107.300,107.467,108.048,108.412,108.936
"9","        Nonresidential",18.876,19.449,19.963,20.326,20.435,21.005,21.723,22.015,21.871,21.835,21.749,21.623,21.649,21.859,22.321,23.057,23.818,24.223,24.443,24.705,24.816,24.872,24.809,24.815,24.840,25.032,25.215,25.178,25.282,25.395,25.236,25.283,25.247,25.391,25.780,26.292,27.000,27.232,27.884,28.243,28.671,28.825,29.019,29.236,28.963,29.135,29.201,29.270,29.309,29.492,29.637,29.707,29.723,29.744,29.731,29.652,29.612,29.592,29.573,29.590,29.597,29.638,29.632,29.608,29.611,29.603,29.637,29.655,29.666,29.811,29.829,29.970,30.013,30.086,30.180,30.325,30.305,30.585,30.654,30.915,31.056,31.225,31.434,31.738,31.995,32.306,32.569,33.053,33.324,33.639,34.010,34.429,34.811,35.381,35.609,36.079,36.590,37.018,37.345,37.579,38.005,38.296,38.541,38.772,39.109,39.663,40.279,40.759,41.521,42.808,44.543,46.475,48.196,49.431,50.067,50.751,51.311,51.971,52.663,53.433,54.473,55.294,56.253,57.229,58.078,59.044,60.011,61.045,62.328,63.699,65.042,66.263,67.743,69.298,70.770,72.236,74.201,75.998,77.397,79.080,80.015,80.983,81.479,81.670,81.240,80.873,80.750,80.748,80.819,81.122,81.300,81.396,81.649,81.791,82.096,82.452,82.663,83.203,83.746,84.130,84.194,84.169,84.198,84.989,85.780,86.239,86.608,87.417,87.871,88.257,88.752,89.190,89.691,90.041,90.660,91.259,92.154,92.233,92.177,91.899,91.808,91.719,91.779,91.785,91.869,91.943,91.897,92.163,92.411,92.600,92.789,92.867,93.256,93.563,93.809,93.605,93.291,92.917,92.929,92.738,92.633,92.562,92.488,92.130,91.596,91.133,90.766,90.548,90.458,90.250,89.894,90.066,90.352,90.564,90.864,90.863,90.518,90.529,90.318,90.207,90.135,89.998,90.000,90.055,89.801,89.747,89.895,90.096,90.388,90.949,91.331,91.898,92.795,93.512,94.046,94.966,95.623,96.169,96.796,97.656,98.304,98.621,98.649,98.722,99.139,99.559,100.697,101.952,101.425,100.236,99.237,99.102,98.735,98.953,99.095,99.496,99.909,100.445,100.761,101.065,101.729,102.156,102.462,102.515,102.570,102.880,103.190,103.453,103.920,104.303,104.618,104.853,105.014,104.932,105.141,105.116,105.172,105.476,105.532,105.778
