        Gross domestic product,Personal consumption expenditures,    Goods,        Durable goods,        Nondurable goods,    Services,Gross private domestic investment,    Fixed investment,        Nonresidential,            Structures,            Equipment,            Intellectual property products,        Residential,    Change in private inventories,Net exports of goods and services,    Exports,        Goods,        Services,    Imports,        Goods,        Services,Government consumption expenditures and gross investment,    Federal,        National defense,        Nondefense,    State and local
12.607,13.04,22.862,44.508,16.217,8.389,16.299,15.363,18.876,6.211,31.625,21.841,8.999,---,---,20.568,23.455,15.231,13.854,13.505,15.263,8.372,11.179,11.143,10.383,6.052
12.779,13.145,23.082,44.917,16.375,8.435,16.922,15.942,19.449,6.291,32.963,22.066,9.499,---,---,22.091,25.69,14.57,14.829,14.806,15.172,8.352,11.044,11.083,9.899,6.154
12.979,13.39,23.435,45.168,16.671,8.637,17.486,16.34,19.963,6.511,33.703,22.529,9.707,---,---,23.216,27.327,14.23,15.624,15.855,15.176,8.188,10.587,10.211,11.098,6.288
13.246,13.723,24.052,45.757,17.175,8.832,17.697,16.676,20.326,6.73,34.015,23.052,9.948,---,---,23.789,28.157,14.116,16.156,16.555,15.265,8.291,10.598,10.201,11.268,6.492
13.395,13.875,24.397,46.106,17.457,8.884,17.925,16.842,20.435,6.909,33.829,23.126,10.126,---,---,23.939,28.337,14.23,16.533,16.911,15.723,8.436,10.664,10.432,10.571,6.727
13.552,14.018,24.658,46.711,17.632,8.971,18.31,17.21,21.005,7.099,34.823,23.507,10.235,---,---,23.811,28.14,14.317,16.59,16.965,15.803,8.541,10.742,10.586,10.387,6.87
13.788,14.233,25.038,48.337,17.803,9.106,18.812,17.731,21.723,7.282,36.269,23.821,10.471,---,---,23.53,27.718,14.433,16.426,16.752,15.794,8.713,10.849,10.738,10.368,7.122
13.782,14.188,24.851,48.424,17.619,9.14,18.919,17.921,22.015,7.35,36.926,23.675,10.527,---,---,23.165,27.179,14.537,16.162,16.426,15.707,8.768,10.85,10.766,10.299,7.238
13.738,14.076,24.543,48.262,17.35,9.133,18.865,17.892,21.871,7.225,36.872,23.701,10.609,---,---,22.755,26.593,14.598,15.799,16.029,15.437,8.899,11.189,10.951,11.063,7.16
13.652,13.99,24.264,47.946,17.127,9.152,18.83,17.866,21.835,7.125,37.092,23.582,10.597,---,---,22.332,25.981,14.679,15.635,15.84,15.326,8.839,11.179,10.909,11.146,7.046
13.547,13.91,23.983,47.363,16.932,9.182,18.634,17.672,21.749,7.088,36.969,23.514,10.349,---,---,21.979,25.476,14.728,15.567,15.762,15.269,8.761,11.03,10.839,10.793,7.034
13.551,13.899,23.842,47.306,16.804,9.248,18.554,17.607,21.623,7.102,36.559,23.501,10.354,---,---,21.742,25.131,14.779,15.627,15.846,15.251,8.864,11.301,11.015,11.321,6.985
13.506,13.876,23.713,47.162,16.698,9.287,18.531,17.605,21.649,7.088,36.673,23.518,10.34,---,---,21.389,24.653,14.737,15.92,16.288,15.108,8.834,11.313,11.044,11.299,6.919
13.564,13.943,23.845,47.523,16.775,9.322,18.806,17.889,21.859,7.066,37.292,23.786,10.605,---,---,21.432,24.689,14.802,16.259,16.712,15.224,8.804,11.193,10.976,11.061,6.968
13.847,14.235,24.431,48.182,17.256,9.464,19.329,18.39,22.321,7.217,38.07,24.316,11.009,---,---,21.63,24.941,14.87,16.783,17.356,15.413,8.97,11.327,11.209,10.836,7.167
14.067,14.488,24.947,48.977,17.652,9.586,19.761,18.735,23.057,7.524,39.174,24.884,10.989,---,---,22.028,25.466,14.956,17.562,18.307,15.659,9.041,11.253,11.242,10.316,7.37
14.539,14.949,25.963,50.788,18.397,9.761,20.476,19.353,23.818,7.827,40.411,25.154,11.349,---,---,23.335,27.208,15.199,19.022,20.104,16.105,9.43,11.81,11.542,11.988,7.619
14.623,15.068,26.185,51.127,18.564,9.832,20.796,19.645,24.223,8.019,40.923,25.545,11.481,---,---,24.186,28.313,15.448,20.046,21.434,16.273,9.363,11.585,11.335,11.595,7.744
14.671,15.088,26.15,51.146,18.524,9.885,20.886,19.799,24.443,8.151,41.112,25.761,11.542,---,---,24.89,29.188,15.763,20.626,22.243,16.343,9.432,11.617,11.354,11.657,7.883
14.865,15.288,26.462,51.64,18.758,10.035,21.077,20.002,24.705,8.227,41.605,25.975,11.648,---,---,25.298,29.648,16.074,20.709,22.421,16.307,9.562,11.788,11.521,11.8,7.982
14.883,15.353,26.526,51.992,18.777,10.105,21.149,20.095,24.816,8.296,41.744,25.869,11.708,---,---,24.666,28.733,16.141,19.864,21.05,16.586,9.474,11.631,11.305,12.182,7.993
14.941,15.35,26.372,51.379,18.707,10.185,21.214,20.184,24.872,8.268,41.992,25.862,11.809,---,---,24.589,28.52,16.416,19.542,20.685,16.403,9.595,11.782,11.454,12.338,8.092
15.053,15.451,26.47,51.911,18.74,10.293,21.231,20.219,24.809,8.25,41.836,25.972,11.921,---,---,24.542,28.361,16.654,19.2,20.286,16.204,9.704,11.874,11.543,12.446,8.259
15.107,15.477,26.401,50.692,18.817,10.373,21.135,20.178,24.815,8.268,41.786,26.03,11.848,---,---,24.507,28.239,16.842,18.884,19.931,15.975,9.808,12.051,11.716,12.625,8.254
15.124,15.536,26.378,51.186,18.736,10.482,21.106,20.196,24.84,8.293,41.72,26.274,11.856,---,---,24.604,28.334,16.956,18.72,19.759,15.819,9.748,11.903,11.543,12.709,8.341
15.158,15.56,26.302,51.244,18.657,10.562,21.193,20.307,25.032,8.41,41.903,26.38,11.87,---,---,24.562,28.24,17.041,18.537,19.576,15.635,9.764,11.944,11.577,12.792,8.312
15.215,15.644,26.299,50.916,18.696,10.7,21.345,20.465,25.215,8.519,42.09,26.45,11.973,---,---,24.482,28.127,17.04,18.452,19.525,15.495,9.737,11.904,11.51,12.957,8.305
15.262,15.713,26.305,51.015,18.69,10.806,21.286,20.416,25.178,8.506,42.009,26.44,11.926,---,---,24.379,28.002,16.986,18.455,19.58,15.412,9.778,11.986,11.586,13.069,8.286
15.326,15.792,26.424,51.422,18.752,10.868,21.324,20.433,25.282,8.389,42.673,26.578,11.861,---,---,24.264,27.866,16.916,18.666,19.825,15.554,9.837,12.107,11.74,12.929,8.257
15.355,15.77,26.323,50.13,18.814,10.889,21.404,20.512,25.395,8.304,43.336,26.531,11.895,---,---,24.178,27.777,16.828,18.752,19.963,15.55,9.937,12.166,11.783,13.099,8.445
15.341,15.718,26.135,49.308,18.739,10.908,21.392,20.513,25.236,8.307,42.814,26.546,12.034,---,---,24.129,27.729,16.776,18.871,20.154,15.547,10.002,12.248,11.889,12.993,8.495
15.363,15.703,26.002,49.021,18.652,10.956,21.403,20.533,25.283,8.319,42.914,26.576,12.029,---,---,24.124,27.724,16.768,18.885,20.183,15.536,10.088,12.367,12.011,13.077,8.545
15.422,15.755,26.039,49.326,18.651,11.019,21.41,20.552,25.247,8.342,42.589,27.044,12.083,---,---,24.196,27.803,16.832,18.651,19.912,15.38,10.14,12.505,12.112,13.437,8.487
15.509,15.771,26.016,49.568,18.598,11.059,21.544,20.69,25.391,8.409,42.79,27.121,12.185,---,---,24.301,27.933,16.877,18.663,19.943,15.362,10.314,12.803,12.415,13.661,8.521
15.616,15.834,26.102,50.04,18.616,11.113,21.8,20.94,25.78,8.523,43.566,27.301,12.268,---,---,24.428,28.096,16.919,18.7,19.995,15.37,10.423,12.897,12.572,13.339,8.662
15.719,15.878,26.109,50.173,18.605,11.18,22.083,21.209,26.292,8.713,44.468,27.484,12.275,---,---,24.596,28.315,16.968,18.757,20.059,15.411,10.544,13.043,12.73,13.383,8.768
15.875,15.943,26.183,50.364,18.649,11.245,22.536,21.643,27,9.099,45.277,27.853,12.376,---,---,24.788,28.608,16.907,18.811,20.121,15.451,10.722,13.223,12.929,13.409,8.967
16.025,16.051,26.377,50.472,18.823,11.311,22.78,21.877,27.232,9.07,46.012,28.14,12.565,---,---,25.045,28.932,17.006,18.957,20.295,15.542,10.888,13.445,13.14,13.667,9.085
16.201,16.208,26.664,51.202,19.003,11.405,23.158,22.239,27.884,9.316,47.132,28.423,12.586,---,---,25.329,29.271,17.164,19.071,20.412,15.641,10.987,13.51,13.213,13.668,9.238
16.303,16.303,26.815,51.87,19.061,11.476,23.327,22.404,28.243,9.409,47.89,28.613,12.53,---,---,25.621,29.591,17.407,19.251,20.648,15.721,11.053,13.565,13.28,13.623,9.327
16.487,16.45,27.053,52.287,19.237,11.58,23.547,22.618,28.671,9.51,48.804,28.915,12.493,---,---,25.973,29.926,17.845,19.335,20.683,15.881,11.242,13.852,13.569,13.866,9.418
16.604,16.554,27.26,53.01,19.341,11.634,23.643,22.72,28.825,9.629,48.829,29.095,12.524,---,---,26.169,30.089,18.154,19.348,20.696,15.891,11.356,13.957,13.646,14.162,9.557
16.733,16.687,27.473,53.005,19.547,11.733,23.79,22.873,29.019,9.681,49.214,29.265,12.61,---,---,26.246,30.12,18.362,19.233,20.54,15.845,11.43,14.062,13.755,14.209,9.603
16.83,16.773,27.568,53.108,19.625,11.818,23.874,22.968,29.236,9.657,49.955,29.342,12.562,---,---,26.216,30.053,18.42,19.04,20.283,15.764,11.52,14.235,13.906,14.509,9.603
16.97,16.979,28.02,54.052,19.938,11.903,23.673,22.785,28.963,9.395,49.888,29.687,12.504,---,---,25.963,29.758,18.248,18.585,19.683,15.568,11.598,14.395,14.061,14.679,9.596
17.042,17.009,28.033,53.834,19.976,11.944,23.793,22.886,29.135,9.454,50.187,29.829,12.517,---,---,25.858,29.65,18.142,18.392,19.419,15.491,11.704,14.526,14.167,14.974,9.683
17.083,17.023,27.962,53.779,19.915,12.001,23.83,22.921,29.201,9.491,50.237,29.918,12.518,---,---,25.841,29.675,18.019,18.366,19.383,15.476,11.785,14.646,14.319,14.852,9.731
17.104,17.018,27.83,53.587,19.814,12.062,23.883,22.964,29.27,9.52,50.325,30.01,12.528,---,---,25.884,29.793,17.88,18.416,19.424,15.534,11.84,14.736,14.395,15.049,9.752
17.189,17.137,28.016,54.522,19.875,12.151,23.888,22.996,29.309,9.456,50.687,29.996,12.547,---,---,25.738,30.029,17.092,18.448,19.352,15.737,11.894,14.728,14.325,15.428,9.879
17.237,17.204,28.05,54.73,19.88,12.238,23.996,23.095,29.492,9.51,50.999,30.248,12.555,---,---,25.772,29.868,17.441,18.539,19.523,15.693,11.881,14.702,14.316,15.311,9.88
17.308,17.307,28.138,54.721,19.966,12.353,24.073,23.167,29.637,9.546,51.254,30.474,12.552,---,---,25.986,29.907,17.934,18.628,19.668,15.689,11.873,14.695,14.349,15.103,9.87
17.375,17.401,28.212,54.697,20.04,12.461,24.118,23.209,29.707,9.554,51.374,30.672,12.56,---,---,26.259,30.224,18.126,18.81,19.933,15.716,11.883,14.703,14.362,15.089,9.881
17.41,17.424,28.172,54.617,20.012,12.518,24.146,23.241,29.723,9.587,51.287,30.737,12.598,---,---,26.296,30.195,18.272,18.754,19.875,15.668,11.923,14.687,14.344,15.076,9.985
17.473,17.516,28.313,54.552,20.156,12.586,24.179,23.282,29.744,9.529,51.543,30.759,12.646,---,---,26.255,30.153,18.233,18.748,19.84,15.712,11.94,14.672,14.322,15.094,10.035
17.552,17.583,28.353,54.385,20.216,12.67,24.17,23.277,29.731,9.484,51.629,30.843,12.648,---,---,26.379,30.303,18.304,18.842,19.868,15.908,12.057,14.861,14.459,15.551,10.089
17.631,17.661,28.46,54.29,20.329,12.736,24.137,23.243,29.652,9.42,51.578,30.899,12.662,---,---,26.295,30.185,18.292,18.791,19.727,16.006,12.166,15.035,14.641,15.666,10.137
17.651,17.694,28.495,54.299,20.36,12.769,24.101,23.198,29.612,9.42,51.438,30.921,12.622,---,---,26.418,30.446,18.143,18.81,19.696,16.106,12.171,14.98,14.564,15.737,10.205
17.688,17.692,28.377,54.556,20.218,12.825,24.115,23.216,29.592,9.438,51.286,30.95,12.671,---,---,26.768,30.913,18.274,18.791,19.628,16.163,12.244,15.029,14.612,15.785,10.307
17.727,17.757,28.45,54.804,20.255,12.887,24.112,23.208,29.573,9.448,51.144,31.046,12.675,---,---,26.721,30.765,18.412,18.772,19.621,16.124,12.246,14.968,14.539,15.796,10.374
17.769,17.777,28.402,54.736,20.217,12.942,24.118,23.211,29.59,9.482,51.048,31.121,12.664,---,---,26.919,31.01,18.521,18.763,19.609,16.119,12.314,15.039,14.605,15.888,10.446
