"Table 1.1.5. Gross Domestic Product"
"[Billions of dollars] Seasonally adjusted at annual rates" 
"Bureau of Economic Analysis" 
"Last Revised on: March 30, 2017 - Next Release Date April 28, 2017"
"Line"," ","1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014","2015","2015","2015","2015","2016","2016","2016","2016"
"Line"," ","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV"
"1","        Gross domestic product",243.1,246.3,250.1,260.3,266.2,272.9,279.5,280.7,275.4,271.7,273.3,271.0,281.2,290.7,308.5,320.3,336.4,344.5,351.8,356.6,360.2,361.4,368.1,381.2,388.5,392.3,391.7,386.5,385.9,386.7,391.6,400.3,413.8,422.2,430.9,437.8,440.5,446.8,452.0,461.3,470.6,472.8,480.3,475.7,468.4,472.8,486.7,500.4,511.1,524.2,525.2,529.3,543.3,542.7,546.0,541.1,545.9,557.4,568.2,581.6,595.2,602.6,609.6,613.1,622.7,631.8,645.0,654.8,671.1,680.8,692.8,698.4,719.2,732.4,750.2,773.1,797.3,807.2,820.8,834.9,846.0,851.1,866.6,883.2,911.1,936.3,952.3,970.1,995.4,1011.4,1032.0,1040.7,1053.5,1070.1,1088.5,1091.5,1137.8,1159.4,1180.3,1193.6,1233.8,1270.1,1293.8,1332.0,1380.7,1417.6,1436.8,1479.1,1494.7,1534.2,1563.4,1603.0,1619.6,1656.4,1713.8,1765.9,1824.5,1856.9,1890.5,1938.4,1992.5,2060.2,2122.4,2168.7,2208.7,2336.6,2398.9,2482.2,2531.6,2595.9,2670.4,2730.7,2796.5,2799.9,2860.0,2993.5,3131.8,3167.3,3261.2,3283.5,3273.8,3331.3,3367.1,3407.8,3480.3,3583.8,3692.3,3796.1,3912.8,4015.0,4087.4,4147.6,4237.0,4302.3,4394.6,4453.1,4516.3,4555.2,4619.6,4669.4,4736.2,4821.5,4900.5,5022.7,5090.6,5207.7,5299.5,5412.7,5527.4,5628.4,5711.6,5763.4,5890.8,5974.7,6029.5,6023.3,6054.9,6143.6,6218.4,6279.3,6380.8,6492.3,6586.5,6697.6,6748.2,6829.6,6904.2,7032.8,7136.3,7269.8,7352.3,7476.7,7545.3,7604.9,7706.5,7799.5,7893.1,8061.5,8159.0,8287.1,8402.1,8551.9,8691.8,8788.3,8889.7,8994.7,9146.5,9325.7,9447.1,9557.0,9712.3,9926.1,10031.0,10278.3,10357.4,10472.3,10508.1,10638.4,10639.5,10701.3,10834.4,10934.8,11037.1,11103.8,11230.1,11370.7,11625.1,11816.8,11988.4,12181.4,12367.7,12562.2,12813.7,12974.1,13205.4,13381.6,13648.9,13799.8,13908.5,14066.4,14233.2,14422.3,14569.7,14685.3,14668.4,14813.0,14843.0,14549.9,14383.9,14340.4,14384.1,14566.5,14681.1,14888.6,15057.7,15230.2,15238.4,15460.9,15587.1,15785.3,15973.9,16121.9,16227.9,16297.3,16475.4,16541.4,16749.3,16999.9,17025.2,17285.6,17569.4,17692.2,17783.6,17998.3,18141.9,18222.8,18281.6,18450.1,18675.3,18869.4
"2","Personal consumption expenditures",156.3,160.2,163.7,167.8,170.5,174.3,177.2,178.1,177.0,178.6,177.9,180.4,183.1,187.0,200.7,198.1,209.4,205.1,207.8,211.7,213.1,217.2,219.7,227.9,231.5,233.2,233.9,233.4,235.4,238.2,240.6,245.4,251.8,256.8,261.0,265.1,266.6,269.3,272.5,277.9,282.3,284.6,289.2,290.8,290.3,293.2,298.3,302.2,309.9,315.9,321.1,323.2,326.7,332.6,332.5,334.5,335.0,339.9,342.8,350.1,355.4,361.0,364.9,371.1,374.7,378.9,385.8,390.5,400.1,408.1,417.0,419.6,430.3,437.2,446.4,460.4,470.8,475.9,485.0,490.8,495.1,504.2,511.4,518.9,536.9,550.6,566.7,575.6,587.8,599.2,609.5,621.5,632.6,642.5,654.5,661.2,680.2,694.3,706.7,722.9,740.1,758.6,777.1,801.9,826.5,842.0,860.5,875.6,893.8,922.3,951.1,960.9,987.1,1015.8,1049.6,1078.5,1112.3,1132.0,1161.3,1195.1,1230.6,1258.5,1289.7,1327.9,1357.8,1415.3,1446.2,1485.4,1521.0,1561.5,1616.0,1659.5,1706.5,1708.9,1767.7,1835.4,1890.7,1921.9,1961.2,1976.1,2014.4,2041.1,2089.2,2150.9,2190.6,2254.5,2324.3,2376.7,2422.8,2481.2,2519.7,2568.9,2643.9,2691.2,2764.7,2790.9,2834.7,2863.0,2929.7,2966.1,2998.3,3068.8,3133.5,3167.6,3249.0,3309.0,3378.3,3451.3,3506.1,3569.5,3625.6,3670.1,3754.5,3800.2,3863.4,3884.4,3890.2,3943.7,3989.6,4017.1,4117.7,4173.4,4245.4,4326.2,4368.5,4437.5,4506.0,4572.0,4640.9,4702.9,4773.1,4847.2,4883.3,4955.0,5020.5,5077.9,5153.8,5244.1,5298.3,5376.1,5456.7,5495.1,5603.5,5687.6,5745.9,5857.8,5952.8,6055.5,6129.0,6253.0,6357.2,6488.9,6642.7,6737.3,6845.1,6944.4,7020.4,7072.1,7103.4,7216.6,7251.4,7344.5,7433.1,7507.2,7593.5,7684.6,7845.5,7938.5,8076.8,8186.3,8312.7,8464.3,8573.1,8723.9,8888.1,8991.3,9134.3,9253.7,9374.3,9453.6,9591.9,9700.9,9799.2,9910.0,9974.4,10095.8,10124.9,9859.6,9770.2,9769.8,9890.8,9957.1,10044.5,10137.7,10233.4,10393.2,10523.5,10651.4,10754.5,10827.9,10956.2,11008.3,11073.6,11164.3,11256.7,11284.5,11379.1,11524.4,11636.1,11800.6,11941.0,12075.8,12098.9,12240.2,12356.9,12438.8,12498.0,12692.7,12832.2,13008.9
"3","    Goods",95.6,98.3,100.4,103.5,105.1,107.2,108.7,108.7,107.2,108.3,107.6,109.3,110.8,112.6,124.0,119.9,127.6,122.2,123.4,125.8,125.5,127.6,127.9,134.1,135.7,135.6,134.4,133.6,134.2,135.0,135.4,138.5,142.9,146.8,149.4,150.5,150.2,151.1,152.1,155.2,158.0,158.6,161.2,160.5,159.3,159.8,162.4,164.8,169.7,172.6,174.5,173.6,175.1,178.4,177.5,177.1,175.6,177.6,179.2,182.8,185.5,187.8,189.5,193.0,195.0,196.7,199.9,201.0,206.6,210.9,216.3,215.2,222.7,225.6,230.8,239.7,246.4,247.0,252.1,253.0,253.5,258.5,260.5,263.5,274.4,280.9,290.4,292.8,298.8,302.7,306.6,310.6,314.1,317.6,321.7,321.8,333.9,339.8,343.9,350.9,357.7,368.4,377.7,391.5,407.3,412.7,420.7,425.9,435.5,448.6,464.0,458.1,468.0,481.5,502.8,513.1,530.7,539.0,550.5,565.1,580.4,592.9,603.9,624.3,629.2,661.0,672.4,691.7,707.9,722.2,753.3,768.4,792.0,777.8,801.9,827.5,860.1,863.8,881.1,872.5,886.3,887.9,901.8,921.1,925.9,962.6,990.8,1015.8,1037.9,1063.6,1066.6,1086.6,1110.4,1126.0,1156.9,1157.1,1170.9,1174.7,1216.7,1220.1,1215.9,1251.4,1281.2,1276.7,1308.8,1326.8,1341.2,1372.5,1389.0,1421.1,1441.9,1443.2,1489.6,1479.3,1496.7,1499.7,1485.8,1497.0,1508.7,1498.2,1533.8,1548.2,1573.1,1597.9,1607.0,1634.2,1649.2,1679.1,1705.7,1726.8,1758.9,1794.8,1788.1,1803.9,1826.2,1843.9,1871.0,1915.9,1925.9,1957.9,1986.7,1974.5,2020.5,2045.4,2044.8,2089.5,2120.1,2180.5,2204.8,2272.7,2310.9,2358.6,2412.7,2436.8,2468.8,2493.1,2498.9,2509.7,2514.9,2577.5,2559.5,2587.8,2620.2,2626.8,2656.5,2676.3,2765.1,2788.3,2841.5,2873.2,2910.2,2976.1,3006.4,3057.4,3125.4,3131.9,3191.9,3222.3,3267.5,3261.4,3302.1,3351.1,3374.5,3418.6,3406.3,3458.8,3450.3,3187.5,3137.0,3148.4,3244.9,3263.5,3304.9,3325.6,3362.4,3458.4,3534.0,3588.0,3613.0,3650.9,3714.4,3717.2,3744.7,3780.0,3827.6,3803.6,3834.7,3872.2,3900.8,3967.4,3999.7,4014.1,3956.7,4010.7,4043.0,4038.1,4008.7,4085.4,4111.9,4187.5
"4","        Durable goods",20.7,21.4,21.8,23.5,23.5,24.0,25.3,25.0,24.4,26.4,27.3,28.4,29.3,29.8,37.4,33.3,35.6,30.7,30.2,30.4,30.8,31.0,29.5,33.7,35.2,35.0,34.6,33.7,32.9,33.6,33.2,35.1,38.4,40.7,42.4,41.4,39.7,39.8,39.7,41.5,42.6,42.2,41.9,41.5,39.4,38.6,39.4,40.7,43.6,45.5,46.3,44.1,45.5,46.4,45.9,44.7,42.2,43.3,44.6,46.7,47.7,49.0,49.6,51.5,52.6,53.9,54.7,55.7,58.0,59.5,61.4,59.4,64.9,64.8,66.7,69.1,72.3,69.7,72.3,72.6,71.1,74.5,74.7,75.6,80.9,83.1,87.5,87.8,90.0,90.4,90.6,90.8,89.6,91.0,92.0,87.3,98.1,101.0,103.4,107.3,110.7,114.1,117.6,123.4,131.8,131.3,130.8,128.2,126.7,130.6,136.3,127.1,131.8,136.7,146.8,153.4,163.3,165.9,169.8,175.5,183.9,189.2,194.0,200.7,198.2,216.2,216.7,222.3,223.3,222.1,230.9,229.0,232.1,211.9,225.4,236.2,246.0,240.9,251.9,236.8,246.4,249.2,252.1,264.4,268.9,289.6,302.4,319.3,331.4,341.3,342.1,353.8,368.0,373.3,396.5,383.8,391.6,407.3,445.7,441.1,418.5,439.1,460.5,449.9,470.4,473.2,470.4,486.2,486.4,493.3,505.6,491.9,515.4,498.4,493.6,480.9,471.7,475.2,484.3,477.5,496.2,501.0,512.1,523.1,527.9,547.8,556.6,573.8,588.8,598.7,609.3,631.8,621.3,626.9,642.5,652.2,659.8,676.3,679.4,689.6,705.6,696.6,722.8,737.2,737.7,769.2,785.0,825.2,819.9,854.8,871.2,876.3,920.9,901.9,911.7,915.8,926.8,919.5,923.9,995.9,974.9,979.7,1003.5,983.3,974.0,1007.8,1042.3,1046.0,1062.3,1071.7,1084.2,1101.1,1110.5,1140.6,1145.4,1112.4,1153.3,1147.0,1158.0,1166.1,1173.4,1184.9,1190.2,1190.1,1152.3,1139.8,1101.9,1015.1,1012.0,1004.8,1045.8,1030.7,1040.2,1064.7,1075.1,1102.8,1115.3,1112.3,1123.8,1149.8,1178.8,1181.6,1194.2,1212.9,1238.4,1237.2,1241.4,1249.8,1256.3,1289.2,1308.5,1325.2,1331.0,1353.3,1364.7,1371.8,1366.6,1390.0,1414.0,1440.9
"5","        Nondurable goods",74.9,76.9,78.6,80.0,81.5,83.2,83.5,83.7,82.7,81.9,80.3,80.9,81.5,82.8,86.6,86.7,92.0,91.4,93.2,95.5,94.8,96.6,98.5,100.3,100.5,100.6,99.8,100.0,101.3,101.3,102.2,103.4,104.5,106.1,106.9,109.0,110.5,111.3,112.4,113.7,115.4,116.5,119.4,119.1,119.9,121.2,123.0,124.1,126.1,127.2,128.2,129.5,129.6,132.0,131.6,132.4,133.4,134.2,134.6,136.2,137.8,138.7,140.0,141.5,142.5,142.8,145.2,145.3,148.7,151.5,154.9,155.8,157.8,160.8,164.1,170.5,174.1,177.2,179.8,180.4,182.4,184.0,185.8,187.9,193.5,197.8,202.8,205.0,208.8,212.2,216.0,219.7,224.5,226.5,229.7,234.5,235.8,238.8,240.4,243.6,247.0,254.3,260.1,268.1,275.5,281.4,289.9,297.7,308.9,318.0,327.7,330.9,336.2,344.8,356.0,359.7,367.4,373.1,380.6,389.6,396.5,403.7,409.9,423.6,431.1,444.8,455.6,469.4,484.6,500.1,522.3,539.4,559.9,565.9,576.5,591.3,614.0,622.8,629.1,635.7,639.9,638.7,649.7,656.7,657.0,673.0,688.4,696.5,706.5,722.4,724.6,732.8,742.4,752.8,760.5,773.3,779.3,767.5,771.0,779.0,797.4,812.3,820.7,826.8,838.4,853.5,870.8,886.3,902.5,927.7,936.3,951.3,974.2,980.9,1003.1,1018.8,1014.1,1021.8,1024.4,1020.7,1037.7,1047.2,1061.1,1074.8,1079.1,1086.3,1092.5,1105.3,1116.8,1128.1,1149.6,1163.0,1166.9,1177.0,1183.7,1191.7,1211.2,1239.5,1246.5,1268.3,1281.1,1277.9,1297.7,1308.2,1307.1,1320.3,1335.1,1355.3,1384.8,1417.9,1439.7,1482.3,1491.8,1534.8,1557.2,1577.3,1572.1,1590.2,1591.0,1581.6,1584.6,1608.2,1616.6,1643.5,1682.5,1668.5,1722.9,1742.3,1779.2,1801.6,1825.9,1875.0,1895.9,1916.8,1980.0,2019.5,2038.6,2075.3,2109.5,2095.3,2128.8,2166.1,2184.3,2228.6,2253.9,2318.9,2348.4,2172.4,2124.9,2143.6,2199.1,2232.8,2264.7,2260.9,2287.3,2355.6,2418.7,2475.6,2489.2,2501.1,2535.6,2535.6,2550.6,2567.1,2589.3,2566.5,2593.2,2622.4,2644.5,2678.2,2691.2,2688.9,2625.6,2657.4,2678.4,2666.3,2642.0,2695.4,2697.9,2746.6
"6","    Services",60.7,61.9,63.2,64.3,65.4,67.1,68.5,69.4,69.8,70.3,70.4,71.1,72.3,74.4,76.7,78.1,81.8,82.9,84.4,85.9,87.6,89.6,91.8,93.8,95.8,97.6,99.5,99.8,101.3,103.2,105.2,106.9,108.8,110.0,111.7,114.6,116.4,118.2,120.4,122.7,124.3,126.0,128.0,130.3,131.1,133.4,135.9,137.5,140.1,143.3,146.6,149.6,151.7,154.2,155.0,157.4,159.3,162.4,163.7,167.3,169.8,173.2,175.4,178.1,179.7,182.2,186.0,189.5,193.5,197.2,200.7,204.4,207.6,211.7,215.7,220.7,224.4,228.9,232.9,237.7,241.6,245.7,251.0,255.4,262.5,269.7,276.3,282.8,289.0,296.5,302.9,310.9,318.5,325.0,332.8,339.4,346.3,354.4,362.8,372.0,382.4,390.2,399.4,410.4,419.2,429.4,439.8,449.7,458.3,473.7,487.1,502.8,519.1,534.3,546.8,565.5,581.6,593.0,610.9,630.0,650.2,665.6,685.8,703.6,728.5,754.3,773.9,793.7,813.1,839.4,862.7,891.0,914.5,931.1,965.8,1007.9,1030.6,1058.1,1080.2,1103.6,1128.1,1153.1,1187.4,1229.8,1264.7,1291.9,1333.5,1360.9,1384.9,1417.6,1453.1,1482.3,1533.5,1565.2,1607.8,1633.8,1663.9,1688.3,1713.0,1746.0,1782.4,1817.4,1852.3,1890.9,1940.2,1982.2,2037.2,2078.8,2117.1,2148.4,2183.6,2226.9,2264.9,2320.9,2366.7,2384.7,2404.4,2446.7,2480.9,2518.9,2583.8,2625.2,2672.3,2728.3,2761.5,2803.3,2856.9,2893.0,2935.2,2976.1,3014.2,3052.4,3095.2,3151.1,3194.2,3234.0,3282.8,3328.3,3372.4,3418.1,3470.0,3520.6,3583.0,3642.2,3701.2,3768.3,3832.7,3875.1,3924.2,3980.3,4046.3,4130.3,4230.0,4300.5,4376.3,4451.3,4521.5,4562.4,4588.5,4639.1,4691.8,4756.7,4813.0,4880.4,4937.0,5008.3,5080.4,5150.2,5235.3,5313.1,5402.5,5488.2,5566.7,5666.5,5762.6,5859.4,5942.4,6031.4,6106.8,6192.2,6289.7,6349.8,6424.7,6491.4,6568.1,6637.0,6674.6,6672.1,6633.3,6621.4,6645.9,6693.6,6739.7,6812.0,6871.0,6934.8,6989.6,7063.4,7141.4,7177.0,7241.8,7291.1,7328.9,7384.3,7429.0,7480.9,7544.5,7652.2,7735.3,7833.2,7941.3,8061.7,8142.2,8229.5,8313.9,8400.6,8489.3,8607.3,8720.3,8821.4
"7","Gross private domestic investment",35.9,34.5,34.9,43.2,47.2,50.3,52.5,51.3,43.1,36.2,39.5,37.5,46.7,52.3,58.6,68.4,64.6,67.4,62.0,57.1,58.1,53.0,57.2,60.7,61.7,62.1,61.4,56.4,55.7,55.4,59.0,62.1,68.7,72.7,74.7,78.9,78.3,77.0,78.3,77.1,77.7,77.9,79.3,71.0,66.7,65.1,72.0,80.0,83.2,89.4,83.6,86.5,96.5,87.1,86.4,76.0,78.4,84.1,90.9,92.9,98.1,96.7,98.2,95.0,99.7,101.6,104.6,107.2,110.5,110.5,112.6,115.0,126.5,127.0,131.2,133.8,144.2,143.5,143.2,145.9,142.8,137.5,142.8,147.7,152.3,158.9,155.7,160.8,172.4,172.7,177.6,171.6,168.1,171.5,173.9,166.8,189.5,197.3,202.1,198.4,213.0,226.8,233.1,239.7,254.3,268.2,264.3,280.9,268.4,277.4,271.0,281.3,244.3,243.3,265.2,276.2,304.6,322.3,328.3,337.6,360.3,389.7,414.1,422.3,434.8,470.6,492.4,515.8,525.8,539.3,545.6,547.9,554.6,519.3,495.1,551.5,619.4,609.8,652.3,643.4,588.3,593.6,593.0,549.2,565.5,613.8,652.3,718.5,790.9,818.9,838.9,831.7,809.9,827.0,822.2,859.5,863.5,855.2,835.8,842.1,871.2,874.6,876.5,946.5,908.6,934.5,942.0,962.8,1005.4,1001.0,996.5,995.9,1010.8,1014.8,1000.7,947.6,924.6,926.6,947.5,978.8,956.8,1013.1,1024.2,1058.0,1083.9,1094.5,1095.9,1153.0,1202.1,1265.1,1251.6,1307.2,1327.3,1303.8,1303.2,1335.6,1355.2,1418.6,1474.4,1480.0,1522.0,1589.9,1625.3,1645.3,1712.3,1694.8,1739.8,1794.4,1850.6,1845.8,1890.9,1949.4,1945.9,2071.8,2055.8,2061.6,1967.5,1967.0,1937.3,1842.7,1910.0,1925.6,1927.9,1936.5,1960.2,1970.5,2048.3,2132.8,2155.2,2259.5,2311.3,2380.8,2475.2,2469.5,2527.2,2636.5,2699.7,2697.0,2684.4,2641.6,2634.2,2671.9,2658.2,2610.6,2527.0,2493.3,2435.9,2243.1,1972.1,1825.9,1786.4,1928.0,1989.5,2092.7,2164.6,2156.5,2123.5,2212.7,2228.2,2395.2,2460.8,2534.8,2529.9,2521.3,2617.6,2658.1,2750.8,2798.6,2774.0,2861.6,2939.8,2970.4,3044.6,3049.9,3072.1,3059.9,3036.8,2987.5,3017.2,3101.4
"8","    Fixed investment",35.4,35.7,37.8,41.8,43.6,44.5,45.4,45.3,42.7,41.4,40.9,42.2,44.7,49.5,54.5,54.4,54.2,52.6,52.2,52.4,53.4,54.5,51.6,55.5,57.8,58.5,59.1,58.5,57.7,58.8,61.1,62.5,64.9,68.1,70.5,71.6,71.9,73.4,74.7,74.9,75.6,75.2,76.5,75.6,70.7,69.3,70.5,74.8,79.3,82.1,83.2,82.4,85.3,83.9,82.1,81.8,80.9,82.3,84.3,86.9,88.7,91.3,92.0,91.6,92.8,96.8,98.9,102.1,105.3,106.1,107.9,110.0,115.0,118.5,121.9,126.2,130.3,131.2,131.3,129.4,127.4,131.2,133.6,139.2,143.9,144.9,148.0,154.8,160.9,163.5,167.4,165.8,166.3,166.4,168.8,170.7,177.2,186.5,191.9,198.7,209.7,214.8,219.4,232.2,243.8,250.0,254.6,255.9,255.8,260.0,265.4,260.9,254.3,257.2,266.6,275.9,289.9,299.9,307.5,327.1,345.5,370.2,383.3,398.2,409.3,446.3,467.4,487.3,502.0,511.9,533.5,539.3,544.7,511.5,528.9,560.6,580.6,598.1,608.3,618.6,609.8,597.8,587.2,589.1,600.6,621.4,656.5,694.6,717.9,749.6,767.5,783.8,793.6,805.4,805.9,826.4,833.1,839.6,842.8,854.8,843.2,858.1,875.5,883.4,891.6,914.9,923.8,943.6,957.2,964.7,986.7,979.4,996.9,981.1,978.8,958.9,940.1,944.6,946.6,947.6,956.5,989.9,1003.7,1036.7,1048.0,1070.4,1089.3,1136.4,1156.7,1183.7,1198.4,1232.0,1266.1,1270.1,1291.9,1317.2,1348.3,1388.0,1423.4,1445.3,1472.2,1501.5,1557.4,1567.6,1607.2,1657.4,1687.4,1734.4,1767.2,1810.7,1850.4,1865.2,1929.8,1981.3,1998.5,2007.2,1998.2,1978.6,1967.5,1923.5,1910.2,1906.5,1902.6,1906.7,1929.2,1970.9,2040.1,2094.4,2106.3,2183.3,2249.0,2312.7,2375.7,2438.9,2509.3,2546.2,2625.2,2619.7,2607.3,2602.5,2614.0,2624.8,2609.6,2588.7,2547.2,2517.2,2454.7,2308.3,2117.8,2013.8,1992.3,1978.8,1977.5,2042.6,2043.0,2094.1,2097.2,2149.6,2243.1,2302.5,2395.3,2445.5,2455.9,2502.9,2554.0,2593.6,2625.3,2682.7,2738.6,2796.7,2863.6,2885.2,2915.7,2944.7,2995.3,2997.2,2994.8,3002.5,3013.1,3049.0
