"Table 2.1. Personal Income and Its Disposition"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: March 30, 2017 - Next Release Date April 28, 2017"
"Line"," ","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"1","Personal income",85.3,76.5,65.6,50.3,47.2,54.1,60.8,69.2,74.7,69.1,73.6,79.4,97.9,126.7,156.2,169.7,175.8,182.7,194.6,213.7,211.2,233.9,264.5,282.7,299.6,302.6,324.6,348.4,368.5,379.5,403.2,422.5,441.1,469.1,492.8,528.4,570.8,620.6,665.7,730.7,800.3,864.6,932.1,1023.6,1138.5,1249.3,1366.9,1498.5,1654.6,1859.7,2078.2,2317.5,2596.5,2779.5,2970.3,3281.8,3516.3,3725.7,3955.9,4276.3,4619.9,4906.4,5073.4,5413.0,5649.0,5937.3,6281.0,6667.0,7080.7,7593.7,7988.4,8637.1,8991.6,9153.9,9491.1,10052.9,10614.0,11393.9,12000.2,12502.2,12094.8,12477.1,13254.5,13915.1,14073.7,14809.7,15458.5,16011.6
"2","    Compensation of employees",51.4,47.2,40.1,31.4,29.8,34.6,37.7,43.3,48.4,45.5,48.6,52.8,66.2,88.1,112.8,124.4,126.4,122.6,132.5,144.5,144.5,158.5,185.9,201.3,215.5,214.4,230.9,249.6,263.0,265.1,286.3,301.9,311.1,332.9,351.2,376.8,406.3,450.3,482.9,532.1,586.0,625.1,667.0,733.6,815.0,890.3,950.2,1051.2,1169.0,1320.2,1481.0,1626.2,1795.3,1894.3,2013.9,2217.4,2389.0,2543.8,2724.3,2950.0,3142.6,3342.7,3452.0,3671.1,3820.7,4010.1,4202.6,4422.1,4714.7,5077.8,5410.3,5856.6,6046.5,6141.9,6364.5,6739.5,7086.8,7502.3,7898.3,8078.3,7787.0,7961.4,8269.0,8609.9,8842.4,9253.4,9693.1,10101.3
"3","        Wages and salaries",50.5,46.2,39.2,30.5,29.0,33.7,36.7,42.0,46.1,43.0,46.0,49.9,62.1,82.1,105.8,116.7,117.5,112.0,123.1,135.6,134.7,147.3,171.6,185.6,199.0,197.3,212.2,229.0,240.0,241.3,259.8,272.9,280.5,299.4,314.9,337.8,363.8,400.3,429.0,472.0,518.3,551.6,584.5,638.8,708.8,772.3,814.8,899.7,994.2,1120.6,1253.3,1373.4,1511.4,1587.5,1677.5,1844.9,1982.6,2102.3,2256.3,2439.8,2583.1,2741.2,2814.5,2965.5,3079.3,3236.6,3418.0,3616.5,3876.8,4181.6,4458.0,4825.9,4954.4,4996.4,5137.8,5421.9,5692.0,6057.4,6395.2,6531.9,6251.4,6377.5,6633.2,6930.3,7116.7,7476.3,7854.8,8189.2
"4","            Private industries",45.5,41.0,33.9,25.5,23.9,27.6,30.2,34.1,38.6,34.8,37.7,41.4,51.9,66.1,79.2,83.8,82.6,91.3,105.6,116.5,113.9,124.6,142.4,152.3,164.7,162.4,175.6,190.2,198.9,197.2,213.8,223.7,228.0,243.0,254.8,272.9,293.8,321.9,342.5,375.3,412.7,434.3,457.8,500.9,560.0,611.8,638.6,710.8,791.6,900.6,1016.2,1112.0,1225.5,1280.0,1352.7,1496.8,1608.7,1705.1,1833.2,1987.7,2101.9,2222.2,2265.7,2393.5,2490.3,2627.1,2789.0,2968.4,3205.0,3480.3,3724.2,4046.1,4132.4,4123.3,4224.5,4469.3,4700.4,5022.4,5306.3,5387.8,5076.3,5186.4,5438.4,5732.0,5908.7,6239.6,6580.3,6878.1
"5","            Government",5.0,5.2,5.3,5.0,5.2,6.1,6.5,7.9,7.5,8.3,8.2,8.5,10.2,16.0,26.6,33.0,34.9,20.7,17.5,19.0,20.8,22.6,29.2,33.4,34.3,34.9,36.6,38.8,41.0,44.1,46.1,49.2,52.5,56.3,60.0,64.9,69.9,78.4,86.5,96.7,105.6,117.2,126.8,137.9,148.8,160.5,176.2,188.9,202.6,220.0,237.1,261.5,285.8,307.5,324.8,348.1,373.9,397.2,423.1,452.0,481.1,519.0,548.8,572.0,589.0,609.5,629.0,648.1,671.9,701.3,733.8,779.8,822.0,873.2,913.3,952.7,991.5,1035.0,1088.8,1144.1,1175.1,1191.1,1194.8,1198.2,1208.0,1236.7,1274.5,1311.1
"6","        Supplements to wages and salaries",1.0,1.0,1.0,0.9,0.8,0.9,1.0,1.4,2.2,2.5,2.6,2.9,4.2,6.0,7.0,7.7,8.9,10.6,9.4,8.9,9.8,11.2,14.3,15.7,16.5,17.2,18.7,20.6,23.0,23.8,26.5,29.0,30.6,33.6,36.3,39.0,42.6,50.0,53.9,60.1,67.7,73.6,82.5,94.9,106.3,118.0,135.3,151.5,174.8,199.7,227.7,252.8,283.9,306.8,336.4,372.5,406.4,441.5,468.0,510.3,559.5,601.5,637.5,705.6,741.3,773.5,784.6,805.6,837.8,896.2,952.3,1030.7,1092.1,1145.5,1226.6,1317.6,1394.8,1444.9,1503.1,1546.4,1535.6,1583.9,1635.9,1679.6,1725.8,1777.1,1838.2,1912.2
"7","            Employer contributions for employee pension and insurance funds 1",1.0,1.0,1.0,0.9,0.8,0.8,1.0,1.1,1.2,1.3,1.3,1.6,2.4,4.0,4.7,5.1,5.4,5.5,5.5,5.9,6.4,7.8,10.2,11.6,12.3,12.6,13.6,14.9,16.7,17.5,18.6,19.7,21.0,22.4,23.9,26.4,29.5,33.1,35.9,40.2,44.9,49.7,56.0,63.7,66.5,73.3,88.6,97.1,113.7,128.1,145.1,163.9,180.3,197.0,216.5,233.5,258.7,283.6,301.8,325.6,365.8,395.0,422.4,477.2,501.7,519.4,520.5,530.8,548.3,589.0,629.0,685.5,734.1,779.5,844.1,908.9,966.8,997.6,1041.4,1075.1,1077.5,1114.6,1142.0,1165.3,1199.0,1229.8,1270.5,1325.4
"8","            Employer contributions for government social insurance",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,1.2,1.3,1.4,1.7,2.0,2.3,2.5,3.5,5.1,3.9,3.0,3.3,3.4,4.1,4.1,4.2,4.6,5.2,5.7,6.4,6.3,7.9,9.3,9.6,11.2,12.4,12.6,13.1,16.8,18.0,20.0,22.8,23.8,26.4,31.2,39.8,44.7,46.7,54.4,61.1,71.5,82.6,88.9,103.6,109.8,119.9,139.0,147.7,157.9,166.3,184.6,193.7,206.5,215.1,228.4,239.7,254.1,264.1,274.8,289.6,307.2,323.3,345.2,358.0,366.0,382.5,408.7,428.1,447.4,461.7,471.3,458.1,469.4,493.9,514.3,526.8,547.3,567.7,586.7
"9","    Proprietors' income with inventory valuation and capital consumption adjustments",14.0,10.9,8.3,5.0,5.3,7.0,10.1,10.4,12.5,10.6,11.1,12.2,16.7,23.3,28.2,29.3,30.8,35.7,34.6,39.3,34.7,37.5,42.6,43.0,42.0,42.3,44.3,45.8,47.8,50.2,50.3,50.6,53.2,55.2,56.4,59.1,63.7,67.9,69.5,73.8,77.0,77.8,83.9,95.1,112.5,112.2,118.2,131.0,144.5,166.0,179.4,171.6,179.7,171.2,186.3,228.2,241.1,256.5,286.5,325.8,341.9,354.4,356.0,402.4,430.5,459.5,484.5,547.4,587.9,644.2,700.4,757.8,836.8,871.0,900.1,962.1,979.0,1053.7,979.2,1026.5,973.0,1032.7,1143.7,1241.4,1284.7,1337.7,1376.8,1417.5
"10","        Farm",5.7,3.9,3.0,1.8,2.2,2.6,4.9,3.9,5.6,4.0,4.0,4.1,6.0,9.7,11.5,11.4,11.8,14.2,14.3,16.7,12.0,12.9,15.3,14.3,12.2,11.7,10.7,10.6,10.6,12.4,10.0,10.6,11.2,11.2,11.0,9.8,12.0,13.0,11.6,11.7,12.8,12.9,13.4,17.0,29.1,23.5,22.0,17.2,16.0,19.9,22.2,11.7,19.0,13.3,6.2,20.9,21.0,22.8,28.9,26.8,33.0,32.2,26.8,34.8,31.4,34.7,22.0,37.3,32.4,28.4,28.1,31.5,32.1,19.9,38.0,50.4,46.4,36.0,38.1,47.0,35.5,46.0,75.5,61.6,87.8,68.5,39.9,27.8
