Personal income,    Compensation of employees,        Wages and salaries,            Private industries,            Government,        Supplements to wages and salaries,            Employer contributions for employee pension and insurance funds 1,            Employer contributions for government social insurance,    Proprietors' income with inventory valuation and capital consumption adjustments,        Farm,        Nonfarm,    Rental income of persons with capital consumption adjustment,    Personal income receipts on assets,        Personal interest income,        Personal dividend income,    Personal current transfer receipts,        Government social benefits to persons,            Social security 2,            Medicare 3,            Medicaid,            Unemployment insurance,            Veterans' benefits,            Other,"        Other current transfer receipts, from business (net)","    Less: Contributions for government social insurance, domestic",Less: Personal current taxes,Equals: Disposable personal income,Less: Personal outlays,    Personal consumption expenditures,    Personal interest payments 4,    Personal current transfer payments,        To government,        To the rest of the world (net),Equals: Personal saving,    Personal saving as a percentage of disposable personal income,"    Personal income excluding current transfer receipts, billions of chained (2009) dollars 5","        Total, billions of chained (2009) dollars 5",            Current dollars,            Chained (2009) dollars,"    Population (midperiod, thousands)","        Disposable personal income, current dollars","        Disposable personal income, chained (2009) dollars"
85.3,51.4,50.5,45.5,5,1,1,0,14,5.7,8.4,6.1,12.6,6.8,5.8,1.2,0.8,,,,,0.6,---,0.4,0.1,1.7,83.5,79.6,77.4,1.5,0.7,0.3,0.3,3.9,4.7,848.4,843,685,6917,121878,,
76.5,47.2,46.2,41,5.2,1,1,0,10.9,3.9,7,5.4,11.9,6.4,5.5,1.2,0.9,,,,,0.6,---,0.4,0.1,1.6,74.9,71.6,70.1,0.9,0.6,0.3,0.3,3.3,4.4,793.4,789.7,608,6411,123188,-10.3,-6.3
65.6,40.1,39.2,33.9,5.3,1,1,0,8.3,3,5.3,4.4,10.5,6.4,4.1,2.3,1.9,,,,,1.6,---,0.4,0.1,1,64.6,61.8,60.7,0.7,0.5,0.2,0.3,2.8,4.3,747,762.9,521,6145,124149,-13.7,-3.4
50.3,31.4,30.5,25.5,5,0.9,0.9,0,5,1.8,3.3,3.6,8.6,6.1,2.5,1.7,1.3,,,,,0.8,---,0.5,0.1,0.7,49.5,49.7,48.7,0.5,0.4,0.2,0.2,-0.1,-0.2,649.3,663,396,5306,124949,-23.4,-13.1
47.2,29.8,29,23.9,5.2,0.8,0.8,0,5.3,2.2,3,2.9,7.6,5.6,2,1.7,1.3,,,,,0.6,0.7,0.4,0.1,0.8,46.4,46.8,45.9,0.5,0.4,0.2,0.2,-0.4,-0.8,631.6,643.8,369,5122,125690,-6.3,-2.9
54.1,34.6,33.7,27.6,6.1,0.9,0.8,0,7,2.6,4.4,2.5,8.3,5.7,2.6,1.8,1.3,,,,,0.4,0.9,0.4,0.1,0.9,53.2,52.3,51.5,0.5,0.3,0.2,0.2,0.9,1.7,694.4,705.7,420,5579,126485,14.6,9.6
60.8,37.7,36.7,30.2,6.5,1,1,0,10.1,4.9,5.2,2.6,8.5,5.7,2.8,2,1.6,,,,,0.5,1.1,0.4,0.1,1.1,59.8,56.8,55.9,0.5,0.3,0.2,0.2,3,5.1,762.5,774.3,469,6080,127362,12.4,9.7
69.2,43.3,42,34.1,7.9,1.4,1.1,0.2,10.4,3.9,6.4,2.7,10,5.5,4.5,3.1,2.7,,,,,1.9,0.8,0.4,0.3,1.3,67.9,63.1,62.2,0.6,0.3,0.2,0.2,4.8,7,848.9,871.9,530,6802,128181,13.6,12.6
74.7,48.4,46.1,38.6,7.5,2.2,1.2,1,12.5,5.6,6.9,3,10.4,5.7,4.7,2,1.6,0,,,0,0.6,1,0.4,1.5,1.9,72.8,67.9,66.8,0.7,0.3,0.2,0.2,4.9,6.7,900.7,901.4,564,6990,128961,7.2,3.4
69.1,45.5,43,34.8,8.3,2.5,1.3,1.2,10.6,4,6.6,3.5,8.8,5.6,3.2,2.4,2.1,0,,,0.4,0.5,1.2,0.3,1.6,1.9,67.2,65.3,64.3,0.7,0.3,0.2,0.2,2,2.9,845.2,852,517,6556,129969,-7.6,-5.5
