Personal income,    Compensation of employees,        Wages and salaries,            Private industries,            Government,        Supplements to wages and salaries,            Employer contributions for employee pension and insurance funds 1,            Employer contributions for government social insurance,    Proprietors' income with inventory valuation and capital consumption adjustments,        Farm,        Nonfarm,    Rental income of persons with capital consumption adjustment,    Personal income receipts on assets,        Personal interest income,        Personal dividend income,    Personal current transfer receipts,        Government social benefits to persons,            Social security 2,            Medicare 3,            Medicaid,            Unemployment insurance,            Veterans' benefits,            Other,"        Other current transfer receipts, from business (net)","    Less: Contributions for government social insurance, domestic",Less: Personal current taxes,Equals: Disposable personal income,Less: Personal outlays,    Personal consumption expenditures,    Personal interest payments 4,    Personal current transfer payments,        To government,        To the rest of the world (net),Equals: Personal saving,    Personal saving as a percentage of disposable personal income,"    Personal income excluding current transfer receipts, billions of chained (2009) dollars 5","        Total, billions of chained (2009) dollars 5",            Current dollars,            Chained (2009) dollars,"    Population (midperiod, thousands)","        Disposable personal income, current dollars","        Disposable personal income, chained (2009) dollars"
190.2,129.1,118.9,101.7,17.1,10.3,5.6,4.7,36.2,16,20.2,6.7,14.8,8.8,6,9.7,9.4,0.4,---,---,1.6,5.4,1.9,0.4,6.3,19.2,171,158.1,156.3,0.9,0.9,0.2,0.7,12.9,7.5,1384.8,1312.3,1194,9167,143156,---,---
189.9,130.9,121.3,103.9,17.3,9.7,5.4,4.3,33.3,12.4,20.9,6.8,15.3,9,6.3,9.6,9.2,0.5,---,---,1.6,5.1,2.1,0.4,6,19.5,170.4,161.9,160.2,0.9,0.8,0.2,0.6,8.5,5,1372.7,1297.4,1185,9022,143803,-1.3,-4.5
197.8,132.9,124,106.4,17.6,8.9,5.4,3.5,33.9,14.1,19.8,7,15.7,9.2,6.5,13.5,13.1,0.5,---,---,1.6,8.5,2.4,0.4,5.2,19.7,178,165.5,163.7,1,0.9,0.2,0.7,12.5,7,1377.5,1330.7,1232,9211,144462,19.1,10.7
200.6,137,128.3,110.3,18,8.7,5.5,3.2,35,14.9,20,7.2,15.8,9.3,6.4,10.5,10.1,0.5,---,---,1.5,5.8,2.3,0.4,4.8,20.8,179.8,169.7,167.8,1,0.9,0.2,0.6,10.2,5.7,1386.5,1311.5,1239,9036,145135,4.1,-5.6
206.6,140.6,131.7,113.4,18.3,8.9,5.7,3.2,36.4,14.5,21.9,7.3,16.5,9.5,7,10.7,10.3,0.5,---,---,1.2,5.9,2.8,0.4,4.8,21.2,185.4,172.7,170.5,1.2,1,0.3,0.8,12.8,6.9,1413.1,1337.3,1272,9175,145761,13,8.1
212.1,142.2,133.4,114.7,18.6,8.9,5.9,3,40.2,18,22.3,7.5,16.3,9.7,6.7,10.4,10.1,0.5,---,---,1.3,5.7,2.6,0.4,4.6,18.9,193.2,176.5,174.3,1.3,1,0.3,0.7,16.7,8.6,1439.9,1379.1,1320,9424,146341,17.8,13.1
217.6,147,138.1,118.8,19.3,8.9,6,2.9,40.6,17.9,22.7,7.5,16.9,9.8,7.1,10.1,9.7,0.6,---,---,1.3,5.4,2.5,0.4,4.6,18.2,199.4,179.4,177.2,1.3,0.9,0.3,0.6,19.9,10,1458.9,1401.7,1356,9537,146973,13.4,6.7
218.3,148.1,139.1,119.2,19.9,9,6.1,2.9,39.9,16.4,23.5,7.6,17.4,10,7.4,9.8,9.4,0.6,---,---,1.4,5.2,2.3,0.4,4.5,18.4,199.9,180.4,178.1,1.4,0.9,0.3,0.6,19.5,9.8,1470.6,1409.5,1353,9546,147659,1,2.3
212.2,146.4,136.7,116.4,20.4,9.7,6.2,3.5,35.4,12.7,22.7,7.5,17.5,10.3,7.2,10.5,10.1,0.6,---,---,1.7,5.2,2.7,0.3,5.2,17.8,194.4,179.2,177,1.4,0.9,0.3,0.5,15.2,7.8,1433.9,1381.8,1311,9318,148298,-10.5,-7.6
211.2,144.9,135,114.3,20.7,9.9,6.3,3.5,34.9,12.1,22.8,7.7,17.7,10.5,7.2,11,10.7,0.7,---,---,2.1,5,3,0.3,5.1,17,194.2,180.9,178.6,1.5,0.8,0.3,0.5,13.2,6.8,1431.2,1388.6,1304,9326,148891,-0.5,2
