"Table 7.1. Selected Per Capita Product and Income Series in Current and Chained Dollars"
"[Dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: March 30, 2017 - Next Release Date April 28, 2017"
"Line"," ","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
" ","Current dollars:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","    Gross domestic product",858,748,623,476,455,528,583,662,721,672,713,779,970,1231,1485,1623,1631,1611,1734,1874,1829,1979,2251,2343,2443,2409,2579,2676,2772,2768,2950,3006,3066,3243,3373,3573,3827,4146,4336,4695,5031,5246,5623,6109,6740,7241,7820,8609,9469,10585,11693,12570,13960,14405,15526,17093,18225,19071,20055,21434,22870,23901,24352,25452,26428,27742,28749,30033,31538,32913,34585,36419,37240,38122,39606,41857,44237,46369,47987,48330,46930,48303,49719,51388,52726,54543,56159,57420
"2","    Gross national product",864,754,628,479,457,530,586,664,724,675,716,781,973,1234,1488,1625,1633,1616,1742,1884,1837,1989,2263,2356,2454,2422,2593,2692,2790,2783,2965,3023,3085,3265,3397,3599,3854,4171,4363,4725,5061,5277,5659,6150,6800,7314,7880,8687,9561,10682,11835,12720,14103,14562,15684,17247,18331,19142,20127,21526,22970,24040,24477,25573,26551,27833,28857,30150,31626,32979,34682,36550,37422,38291,39837,42160,44549,46595,48404,48895,47422,48968,50509,52144,53498,55321,56799,58060
"3","    Personal income",700,621,529,402,376,427,478,540,579,532,562,601,734,940,1142,1226,1256,1292,1350,1457,1416,1542,1714,1801,1877,1863,1964,2071,2151,2179,2276,2338,2401,2514,2603,2753,2937,3157,3350,3640,3947,4216,4488,4876,5372,5841,6329,6871,7511,8353,9232,10177,11289,11969,12675,13883,14743,15480,16290,17450,18675,19611,20011,21069,21703,22536,23561,24719,25941,27498,28599,30585,31525,31789,32657,34280,35859,38130,39776,41052,39366,40275,42467,44263,44457,46442,48131,49511
"4","    Disposable personal income",685,608,521,396,369,420,469,530,564,517,551,588,716,903,1020,1099,1117,1170,1213,1326,1304,1417,1539,1597,1669,1678,1765,1854,1924,1958,2038,2083,2143,2238,2315,2482,2641,2819,2983,3207,3432,3713,3998,4287,4747,5135,5645,6079,6613,7322,8037,8861,9785,10442,11170,12284,12991,13661,14274,15386,16380,17235,17688,18684,19211,19906,20753,21615,22527,23759,24617,26206,27179,28127,29198,30697,31760,33589,34826,36101,35616,36274,37811,39455,39157,40838,42095,43433
"5","    Personal consumption expenditures",635,569,489,390,366,407,439,485,518,494,513,540,608,660,731,785,857,1021,1124,1194,1196,1267,1351,1398,1460,1477,1565,1614,1674,1700,1793,1834,1861,1946,2021,2142,2282,2445,2553,2777,2982,3158,3375,3665,4016,4357,4782,5274,5795,6406,7061,7705,8424,8931,9758,10568,11416,12042,12733,13657,14523,15291,15620,16408,17178,17996,18696,19532,20372,21376,22579,24053,24904,25643,26720,28166,29711,31136,32319,32881,32050,32931,34248,35151,35888,37202,38246,39451
"6","        Goods",359,310,255,193,189,225,248,281,298,277,289,308,356,378,412,437,483,610,690,733,724,770,809,821,845,836,892,904,932,928,974,979,973,1013,1047,1106,1182,1270,1303,1418,1503,1554,1647,1781,1966,2111,2275,2505,2725,2981,3278,3512,3780,3873,4156,4500,4770,4968,5173,5457,5755,5961,5906,6085,6310,6629,6810,7110,7352,7636,8187,8686,8853,9024,9364,9890,10407,10829,11142,11084,10410,10855,11523,11894,12113,12451,12492,12673
"7","            Durable goods",81,62,48,32,30,36,43,53,57,47,55,63,77,57,55,56,65,121,151,167,178,214,206,199,217,208,247,239,245,227,253,252,241,265,286,310,342,365,372,423,446,439,493,555,616,609,658,773,871,958,1005,994,1061,1090,1259,1447,1595,1751,1820,1939,1998,1987,1882,1978,2119,2305,2385,2507,2621,2822,3063,3232,3301,3422,3501,3682,3808,3869,3927,3619,3331,3456,3605,3791,3922,4060,4220,4338
"8","            Nondurable goods",278,248,208,161,159,189,205,228,240,230,235,245,279,322,357,381,418,489,538,566,546,556,603,621,628,628,645,666,686,701,721,727,733,748,760,796,840,905,931,995,1057,1116,1154,1226,1350,1502,1617,1732,1854,2022,2273,2518,2719,2783,2897,3052,3175,3217,3353,3519,3757,3974,4024,4107,4191,4325,4426,4603,4731,4814,5124,5454,5553,5602,5863,6208,6598,6960,7216,7465,7080,7399,7917,8102,8190,8391,8273,8335
"9","        Services",276,260,233,197,177,182,191,205,221,217,224,232,252,282,319,348,374,411,434,461,472,497,543,578,615,641,673,710,742,772,818,855,888,933,974,1037,1101,1175,1250,1359,1479,1604,1728,1885,2050,2246,2507,2769,3070,3425,3783,4193,4644,5058,5602,6068,6646,7075,7559,8200,8768,9331,9714,10324,10868,11366,11886,12422,13020,13740,14393,15367,16050,16619,17356,18276,19304,20307,21177,21796,21640,22077,22725,23257,23776,24751,25754,26777
