    Gross domestic product,    Gross national product,    Personal income,    Disposable personal income,    Personal consumption expenditures,        Goods,            Durable goods,            Nondurable goods,        Services,    Gross domestic product,    Gross national product,    Disposable personal income,    Personal consumption expenditures,        Goods,            Durable goods,            Nondurable goods,        Services,"Population (midperiod, thousands)"
858,864,700,685,635,359,81,278,276,8669,8753,6917,6408,2269,263,2479,3812,121878
748,754,621,608,569,310,62,248,260,7847,7925,6411,6000,2067,215,2325,3693,123188
623,628,529,521,489,255,48,208,233,7288,7353,6145,5768,1977,185,2282,3571,124149
476,479,402,396,390,193,32,161,197,6308,6361,5306,5218,1735,140,2068,3334,124949
455,457,376,369,366,189,30,159,177,6192,6237,5122,5073,1712,135,2048,3191,125690
528,530,427,420,407,225,36,189,182,6817,6858,5579,5401,1857,154,2201,3327,126485
583,586,478,469,439,248,43,205,191,7373,7421,6080,5689,1994,185,2311,3419,127362
662,664,540,530,485,281,53,228,205,8273,8316,6802,6228,2245,224,2559,3607,128181
721,724,579,564,518,298,57,240,221,8643,8697,6990,6419,2297,234,2606,3753,128961
672,675,532,517,494,277,47,230,217,8292,8347,6556,6268,2229,193,2623,3694,129969
713,716,562,551,513,289,55,235,224,8881,8939,7046,6565,2365,227,2721,3807,131028
779,781,601,588,540,308,63,245,232,9583,9634,7464,6847,2491,257,2813,3921,132122
970,973,734,716,608,356,77,279,252,11171,11236,8558,7261,2662,294,2954,4113,133402
1231,1234,940,903,660,378,57,322,282,13138,13206,9598,7012,2430,185,2929,4293,134860
1485,1488,1142,1020,731,412,55,357,319,15166,15233,9922,7109,2373,163,2907,4572,136739
1623,1625,1226,1099,785,437,56,381,348,16181,16251,10109,7223,2362,149,2933,4769,138397
1631,1633,1256,1117,857,483,65,418,374,15850,15912,9885,7586,2496,164,3080,4970,139928
1611,1616,1292,1170,1021,610,121,489,411,13869,13942,9679,8442,2927,292,3324,5142,141389
1734,1742,1350,1213,1124,690,151,538,434,13457,13547,9109,8440,2955,336,3241,5066,144126
1874,1884,1457,1326,1194,733,167,566,461,13776,13880,9425,8483,2963,352,3210,5111,146631
1829,1837,1416,1304,1196,724,178,546,472,13466,13561,9340,8569,3000,374,3202,5144,149188
1979,1989,1542,1417,1267,770,214,556,497,14398,14501,10033,8969,3179,446,3254,5281,151684
2251,2263,1714,1539,1351,809,206,603,543,15296,15417,10197,8955,3088,402,3248,5498,154287
2343,2356,1801,1597,1398,821,199,621,578,15649,15772,10371,9081,3104,387,3313,5647,156954
2443,2454,1877,1669,1460,845,217,628,615,16115,16233,10697,9359,3212,425,3360,5788,159565
2409,2422,1863,1678,1477,836,208,628,641,15745,15867,10661,9389,3190,416,3354,5886,162391
2579,2593,1964,1765,1565,892,247,645,673,16573,16705,11172,9906,3423,496,3466,6074,165275
2676,2692,2071,1854,1614,904,239,666,710,16630,16771,11502,10017,3413,469,3525,6253,168221
2772,2790,2151,1924,1674,932,245,686,742,16677,16823,11589,10082,3410,465,3532,6353,171274
2768,2783,2179,1958,1700,928,227,701,772,16282,16408,11519,10002,3319,422,3520,6451,174141
2950,2965,2276,2038,1793,974,253,721,818,17112,17240,11811,10390,3469,464,3616,6655,177130
3006,3023,2338,2083,1834,979,252,727,855,17198,17334,11877,10461,3459,464,3602,6776,180760
3066,3085,2401,2143,1861,973,241,733,888,17351,17497,12097,10504,3424,441,3615,6912,183742
3243,3265,2514,2238,1946,1013,265,748,933,18131,18291,12482,10855,3545,484,3670,7128,186590
3373,3397,2603,2315,2021,1047,286,760,974,18650,18818,12766,11140,3634,521,3695,7325,189300
3573,3599,2753,2482,2142,1106,310,796,1037,19456,19634,13485,11642,3798,562,3816,7654,191927
3827,3854,2937,2641,2282,1182,342,840,1101,20462,20647,14144,12226,4016,624,3958,7978,194347
4146,4171,3157,2819,2445,1270,365,905,1175,21561,21737,14726,12770,4222,668,4130,8276,196599
4336,4363,3350,2983,2553,1303,372,931,1250,21913,22092,15198,13009,4258,670,4173,8521,198752
4695,4725,3640,3207,2777,1418,423,995,1359,22760,22950,15728,13619,4477,737,4307,8882,200745
5031,5061,3947,3432,2982,1503,446,1057,1479,23244,23428,16102,13990,4568,757,4382,9186,202736
5246,5277,4216,3713,3158,1554,439,1116,1604,23024,23204,16643,14155,4552,729,4428,9438,205089
5623,5659,4488,3998,3375,1647,493,1154,1728,23485,23680,17191,14511,4683,792,4455,9642,207692
6109,6150,4876,4287,3665,1781,555,1226,1885,24458,24665,17821,15237,4936,881,4586,10088,209924
6740,6800,5372,4747,4016,1966,616,1350,2050,25593,25861,18725,15841,5142,964,4673,10466,211939
7241,7314,5841,5135,4357,2111,609,1502,2246,25227,25526,18343,15566,4909,894,4517,10571,213898
7820,7880,6329,5645,4782,2275,658,1617,2507,24934,25170,18613,15766,4895,887,4512,10863,215981
8609,8687,6871,6079,5274,2505,773,1732,2769,26024,26298,19002,16484,5187,988,4681,11221,218086
9469,9561,7511,6613,5795,2725,871,1854,3070,26951,27254,19406,17007,5355,1065,4740,11569,220289
10585,10682,8353,7322,6406,2981,958,2022,3425,28151,28450,20080,17568,5518,1109,4859,11977,222629
11693,11835,9232,8037,7061,3278,1005,2273,3783,28725,29115,20248,17788,5545,1091,4930,12207,225106
12570,12720,10177,8861,7705,3512,994,2518,4193,28325,28707,20158,17528,5342,993,4865,12261,227726
13960,14103,11289,9785,8424,3780,1061,2719,4644,28772,29108,20458,17611,5352,993,4877,12351,230008
14405,14562,11969,10442,8931,3873,1090,2783,5058,27953,28299,20685,17692,5338,982,4881,12477,232218
15526,15684,12675,11170,9758,4156,1259,2897,5602,28984,29319,21214,18532,5626,1112,4994,13008,234333
17093,17247,13883,12284,10568,4500,1447,3052,6068,30817,31136,22480,19339,5979,1259,5155,13393,236394
18225,18331,14743,12991,11416,4770,1595,3175,6646,31839,32068,22960,20175,6238,1373,5264,13972,238506
19071,19142,15480,13661,12042,4968,1751,3217,7075,32659,32820,23632,20832,6527,1491,5402,14292,240683
20055,20127,16290,14274,12733,5173,1820,3353,7559,33489,33642,23929,21346,6585,1507,5446,14801,242843
21434,21526,17450,15386,13657,5457,1939,3519,8200,34581,34762,24826,22037,6768,1578,5539,15327,245061
22870,22970,18675,16380,14523,5755,1998,3757,8768,35517,35701,25340,22467,6874,1598,5635,15666,247387
23901,24040,19611,17235,15291,5961,1987,3974,9331,35794,36024,25555,22674,6839,1573,5637,15957,250181
24352,24477,20011,17688,15620,5906,1882,4024,9714,35295,35491,25395,22426,6615,1469,5546,16003,253530
25452,25573,21069,18684,16408,6085,1978,4107,10324,36068,36256,26133,22951,6733,1533,5579,16431,256922
26428,26551,21703,19211,17178,6310,2119,4191,10868,36580,36768,26216,23441,6922,1626,5647,16718,260282
27742,27833,22536,19906,17996,6629,2305,4325,11366,37598,37741,26611,24057,7200,1735,5797,17025,263455
28749,28857,23561,20753,18696,6810,2385,4426,11886,38167,38326,27180,24486,7328,1782,5870,17328,266588
30033,30150,24719,21615,19532,7110,2507,4603,12422,39156,39325,27719,25047,7567,1893,5970,17629,269714
