"Table 7.1. Selected Per Capita Product and Income Series in Current and Chained Dollars"
"[Dollars] Seasonally adjusted at annual rates" 
"Bureau of Economic Analysis" 
"Last Revised on: March 30, 2017 - Next Release Date April 28, 2017"
"Line"," ","1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014","2015","2015","2015","2015","2016","2016","2016","2016"
"Line"," ","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV","I","II","III","IV"
" ","Current dollars:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","    Gross domestic product",1698,1713,1731,1794,1826,1865,1902,1901,1857,1825,1827,1804,1864,1921,2029,2097,2194,2237,2275,2295,2308,2307,2340,2412,2449,2463,2449,2405,2391,2386,2405,2447,2519,2560,2601,2630,2635,2661,2680,2721,2765,2766,2798,2758,2705,2721,2788,2854,2903,2966,2959,2969,3024,3009,3015,2974,2989,3040,3086,3146,3208,3236,3261,3267,3307,3345,3401,3440,3515,3554,3604,3620,3718,3775,3854,3959,4073,4112,4169,4228,4274,4288,4355,4425,4556,4671,4738,4814,4929,4996,5084,5112,5162,5227,5299,5295,5503,5591,5675,5721,5899,6059,6156,6321,6538,6697,6771,6954,7012,7183,7301,7466,7528,7681,7924,8143,8396,8527,8659,8855,9081,9366,9622,9804,9962,10512,10760,11102,11294,11551,11846,12077,12333,12313,12540,13090,13667,13790,14161,14220,14148,14365,14482,14621,14902,15314,15738,16143,16607,17007,17271,17483,17827,18064,18404,18602,18829,18951,19172,19332,19570,19881,20157,20608,20845,21281,21599,22006,22427,22786,23059,23205,23664,23926,24061,23951,24003,24277,24485,24641,24965,25317,25590,25932,26051,26285,26482,26889,27212,27640,27863,28248,28431,28575,28863,29122,29399,29941,30204,30581,30923,31385,31792,32045,32332,32625,33072,33618,33970,34271,34718,35376,35659,36448,36629,36937,36978,37349,37255,37377,37759,38024,38283,38421,38777,39175,39952,40515,41023,41592,42124,42680,43443,43892,44562,45043,45842,46245,46489,46896,47348,47869,48234,48494,48332,48701,48681,47609,46970,46732,46767,47250,47527,48110,48558,49014,48958,49589,49894,50430,50948,51336,51573,51693,52181,52309,52863,53547,53538,54265,55045,55320,55517,56096,56436,56582,56679,57110,57698,58189
"2","    Gross national product",1705,1720,1739,1802,1836,1875,1912,1911,1866,1834,1836,1812,1872,1929,2040,2108,2204,2250,2287,2309,2321,2320,2352,2425,2461,2476,2460,2416,2404,2399,2418,2462,2534,2575,2616,2645,2652,2678,2697,2737,2783,2786,2817,2773,2721,2736,2803,2869,2918,2981,2975,2986,3040,3026,3033,2993,3009,3059,3105,3165,3227,3258,3283,3292,3331,3368,3425,3464,3541,3579,3630,3644,3746,3804,3881,3983,4098,4138,4194,4254,4300,4314,4383,4453,4585,4701,4769,4845,4960,5027,5113,5142,5193,5260,5331,5324,5539,5629,5709,5758,5938,6097,6198,6364,6588,6752,6837,7021,7092,7259,7372,7528,7581,7735,7984,8217,8468,8603,8737,8936,9175,9461,9717,9889,10061,10596,10854,11212,11408,11682,12007,12238,12500,12471,12691,13215,13804,13921,14303,14383,14304,14541,14633,14767,15048,15471,15900,16312,16765,17166,17429,17623,17935,18180,18498,18709,18921,19016,19247,19382,19630,19955,20230,20689,20948,21374,21682,22098,22518,22873,23157,23329,23783,24053,24169,24152,24159,24390,24584,24771,25094,25442,25704,26049,26198,26406,26624,26972,27319,27730,27947,28328,28547,28700,28937,29239,29541,30052,30303,30700,31011,31500,31880,32108,32427,32709,33110,33665,34049,34369,34805,35499,35768,36568,36732,37128,37121,37523,37349,37692,37938,38137,38445,38642,38950,39395,40172,40825,41396,41879,42446,42915,43792,44203,44907,45290,46096,46481,46679,47122,47576,48170,48724,49137,48926,49308,49344,48005,47389,47138,47350,47807,48186,48773,49202,49707,49691,50330,50712,51298,51750,52073,52326,52425,52900,53083,53659,54345,54329,55026,55863,56060,56195,56731,57029,57239,57214,57753,58328,58939
"3","    Personal income",1328,1320,1369,1382,1418,1450,1481,1478,1431,1418,1408,1405,1501,1505,1554,1605,1659,1711,1731,1753,1759,1778,1815,1849,1870,1888,1879,1870,1862,1852,1856,1880,1911,1949,1985,2006,2031,2057,2079,2113,2131,2150,2168,2154,2151,2157,2195,2211,2240,2279,2282,2304,2321,2341,2345,2343,2358,2383,2412,2449,2478,2508,2523,2546,2567,2584,2612,2651,2693,2734,2774,2810,2859,2901,2965,3024,3081,3123,3181,3240,3287,3314,3374,3423,3513,3605,3687,3755,3819,3905,4000,4064,4125,4199,4255,4283,4367,4467,4522,4595,4714,4787,4897,5104,5177,5304,5420,5586,5651,5760,5915,6037,6117,6249,6399,6548,6686,6784,6933,7079,7200,7403,7594,7844,8005,8251,8466,8689,8920,9077,9340,9589,9838,9925,10248,10692,10927,11109,11497,11619,11734,11895,12042,12204,12339,12528,12749,13082,13444,13771,14058,14254,14501,14639,14799,15032,15252,15396,15565,15703,15913,16127,16382,16734,17009,17276,17603,17909,18391,18572,18745,18988,19335,19578,19756,19774,19757,19928,20057,20300,20698,21015,21173,21385,21455,21655,21736,21965,22104,22447,22624,22965,23267,23447,23659,23866,24243,24659,24857,25112,25505,25728,26057,26467,26989,27378,27680,27941,28184,28359,28652,29195,30022,30409,30855,31048,31535,31590,31482,31492,31567,31783,31820,31985,32114,32469,32822,33220,33560,34047,34436,35070,35121,35585,36101,36624,37652,37969,38238,38657,39322,39659,39884,40235,40749,41821,41113,40528,39387,39489,39232,39356,39608,40111,40451,40924,42016,42321,42724,42804,43576,43987,44070,45412,44038,44327,44613,44848,45557,46204,46768,47234,47407,48004,48392,48718,48799,49307,49775,50160
"4","    Disposable personal income",1194,1185,1232,1239,1272,1320,1356,1353,1311,1304,1299,1299,1391,1389,1429,1457,1500,1539,1552,1562,1561,1574,1610,1640,1660,1678,1671,1665,1675,1667,1672,1694,1720,1753,1784,1801,1819,1841,1860,1890,1904,1922,1940,1929,1931,1940,1972,1986,2009,2041,2042,2058,2069,2086,2088,2087,2103,2127,2154,2189,2211,2235,2243,2261,2279,2296,2324,2361,2412,2474,2506,2534,2565,2600,2672,2725,2767,2789,2836,2883,2927,2957,3003,3042,3120,3197,3230,3279,3311,3383,3487,3545,3612,3684,3765,3791,3892,3982,4030,4089,4142,4198,4305,4501,4578,4693,4788,4928,4981,5063,5191,5303,5382,5687,5693,5817,5938,6006,6127,6244,6340,6513,6694,6901,7049,7247,7406,7583,7788,7911,8121,8328,8582,8640,8923,9297,9483,9617,9947,10092,10210,10344,10536,10674,10837,10992,11277,11570,11911,12202,12435,12585,12682,13007,13033,13241,13475,13609,13741,13815,14051,14017,14370,14654,14953,15242,15538,15806,16148,16278,16437,16654,16995,17197,17358,17385,17454,17612,17733,17951,18394,18648,18779,18911,19074,19178,19208,19383,19535,19794,19989,20300,20537,20641,20842,20990,21257,21541,21734,21926,22185,22365,22615,22938,23366,23669,23908,24091,24308,24431,24646,25081,25724,26046,26442,26608,26952,26994,27581,27189,27840,28134,28168,28363,28584,28958,29539,29708,30094,30537,30800,31353,31145,31533,31961,32396,33217,33448,33696,33991,34457,34720,34918,35209,35688,36742,36175,35801,35459,35798,35546,35658,35744,36183,36397,36770,37436,37692,38017,38097,38880,39234,39266,40436,38828,39010,39306,39481,40049,40693,41128,41478,41447,41966,42343,42621,42807,43265,43651,44007
"5","    Personal consumption expenditures",1092,1114,1133,1156,1170,1191,1206,1206,1193,1199,1190,1201,1214,1235,1320,1297,1365,1332,1343,1363,1366,1387,1397,1442,1459,1465,1463,1452,1459,1470,1478,1500,1533,1557,1576,1592,1594,1604,1616,1640,1659,1665,1684,1686,1677,1687,1709,1724,1760,1787,1809,1813,1818,1844,1836,1839,1834,1854,1862,1894,1915,1939,1952,1978,1990,2006,2035,2051,2095,2130,2169,2175,2224,2254,2293,2358,2405,2424,2463,2485,2501,2541,2570,2600,2684,2747,2820,2856,2911,2960,3003,3053,3100,3139,3186,3208,3290,3348,3397,3465,3539,3619,3697,3805,3913,3978,4055,4116,4193,4318,4441,4475,4588,4710,4853,4974,5118,5198,5319,5459,5608,5722,5847,6003,6124,6367,6487,6644,6785,6948,7169,7339,7526,7515,7751,8026,8251,8368,8516,8558,8705,8801,8986,9229,9380,9634,9907,10107,10283,10510,10647,10829,11124,11299,11578,11658,11818,11911,12158,12280,12389,12654,12889,12997,13304,13522,13769,14031,14226,14450,14637,14777,15082,15218,15417,15446,15422,15584,15709,15763,16111,16274,16494,16750,16864,17079,17283,17481,17696,17880,18089,18314,18401,18618,18803,18960,19196,19477,19614,19839,20083,20166,20496,20739,20898,21247,21524,21830,22039,22423,22725,23126,23614,23891,24208,24494,24705,24829,24873,25205,25272,25539,25782,25976,26220,26475,26963,27217,27638,27952,28313,28757,29066,29514,29993,30265,30679,31010,31333,31518,31908,32199,32441,32725,32865,33192,33207,32261,31904,31837,32158,32298,32517,32758,33001,33448,33810,34163,34425,34592,34945,35053,35192,35412,35652,35685,35914,36300,36591,37045,37411,37759,37770,38150,38440,38623,38747,39288,39645,40117
"6","        Goods",668,683,695,713,721,732,740,736,723,727,719,728,734,744,816,785,832,794,798,810,805,815,813,848,855,851,840,832,831,833,832,847,870,890,902,904,898,900,902,915,928,928,939,931,920,920,931,940,964,977,983,974,974,989,980,974,962,969,973,989,1000,1009,1014,1028,1036,1041,1054,1056,1082,1101,1125,1115,1151,1163,1186,1227,1259,1258,1280,1281,1280,1303,1309,1320,1372,1401,1445,1453,1480,1495,1511,1526,1539,1551,1566,1561,1615,1639,1653,1682,1711,1757,1797,1858,1928,1950,1983,2002,2043,2100,2167,2133,2175,2233,2324,2366,2442,2475,2521,2581,2645,2696,2738,2822,2838,2974,3016,3094,3158,3213,3342,3398,3493,3421,3516,3618,3753,3761,3826,3779,3830,3829,3879,3952,3965,4113,4223,4320,4405,4505,4507,4580,4672,4728,4845,4834,4881,4887,5050,5052,5024,5160,5270,5238,5359,5422,5466,5580,5636,5753,5821,5811,5984,5924,5972,5963,5890,5916,5941,5879,6001,6037,6112,6187,6204,6289,6326,6420,6504,6565,6666,6781,6738,6778,6840,6885,6969,7116,7130,7225,7312,7246,7390,7458,7437,7579,7666,7860,7928,8150,8261,8406,8577,8641,8731,8793,8794,8811,8806,9002,8920,8999,9088,9089,9173,9221,9503,9560,9723,9810,9912,10111,10193,10343,10547,10542,10721,10798,10922,10873,10985,11123,11172,11289,11223,11372,11316,10430,10244,10260,10550,10586,10699,10746,10843,11130,11354,11508,11565,11664,11847,11836,11901,11990,12123,12028,12103,12197,12266,12455,12531,12551,12352,12500,12577,12539,12428,12646,12704,12913
"7","            Durable goods",145,148,151,162,162,164,172,169,165,177,183,189,194,197,246,218,232,200,195,196,197,198,187,213,222,220,216,210,204,208,204,214,234,247,256,249,237,237,235,245,250,247,244,240,228,222,226,232,248,257,261,247,253,257,254,246,231,236,242,252,257,263,265,275,279,285,288,293,304,310,319,308,336,334,343,354,369,355,367,368,359,375,375,379,404,414,436,436,446,447,446,446,439,445,448,424,474,487,497,514,529,544,559,586,624,620,616,603,594,611,637,592,613,634,679,707,751,762,778,801,838,860,879,907,894,973,972,994,996,988,1024,1013,1023,932,988,1033,1074,1049,1094,1026,1065,1075,1084,1134,1151,1237,1289,1358,1407,1446,1445,1492,1548,1567,1660,1603,1633,1694,1850,1826,1729,1811,1894,1846,1926,1934,1917,1977,1974,1997,2041,1980,2070,1996,1970,1912,1870,1878,1907,1874,1941,1954,1990,2025,2038,2109,2135,2194,2245,2276,2309,2387,2341,2356,2407,2435,2458,2512,2515,2545,2597,2556,2644,2688,2683,2790,2839,2975,2948,3065,3114,3123,3274,3198,3224,3230,3261,3228,3235,3478,3398,3407,3481,3402,3363,3472,3582,3586,3635,3659,3693,3741,3765,3859,3865,3744,3874,3844,3870,3888,3903,3933,3940,3930,3797,3748,3614,3322,3305,3274,3400,3343,3367,3440,3467,3549,3583,3568,3597,3673,3760,3762,3795,3847,3922,3912,3918,3937,3951,4047,4099,4144,4155,4218,4245,4259,4237,4303,4369,4443
