    Gross domestic product,    Gross national product,    Personal income,    Disposable personal income,    Personal consumption expenditures,        Goods,            Durable goods,            Nondurable goods,        Services,    Gross domestic product,    Gross national product,    Disposable personal income,    Personal consumption expenditures,        Goods,            Durable goods,            Nondurable goods,        Services,"Population (midperiod, thousands)"
1698,1705,1328,1194,1092,668,145,523,424,13513,13601,9167,8378,2922,326,3225,5057,143156
1713,1720,1320,1185,1114,683,148,535,431,13437,13528,9022,8479,2962,331,3266,5107,143803
1731,1739,1369,1232,1133,695,151,544,438,13362,13452,9211,8468,2968,334,3266,5073,144462
1794,1802,1382,1239,1156,713,162,551,443,13510,13603,9036,8431,2965,354,3208,5023,145135
1826,1836,1418,1272,1170,721,162,559,449,13649,13750,9175,8437,2957,351,3205,5055,145761
1865,1875,1450,1320,1191,732,164,568,458,13816,13921,9424,8501,2972,352,3223,5114,146341
1902,1912,1481,1356,1206,740,172,568,466,13834,13939,9537,8477,2956,356,3190,5119,146973
1901,1911,1478,1353,1206,736,169,567,470,13784,13889,9546,8505,2962,350,3217,5146,147659
1857,1866,1431,1311,1193,723,165,558,471,13537,13637,9318,8482,2945,342,3215,5157,148298
1825,1834,1418,1304,1199,727,177,550,472,13438,13535,9326,8578,2998,370,3211,5162,148891
1827,1836,1408,1299,1190,719,183,537,471,13528,13623,9346,8560,3000,386,3170,5129,149529
1804,1812,1405,1299,1201,728,189,539,473,13346,13433,9356,8646,3053,399,3207,5121,150211
1864,1872,1501,1391,1214,734,194,540,479,13819,13911,10035,8753,3099,413,3234,5162,150852
1921,1929,1505,1389,1235,744,197,547,491,14186,14283,9969,8866,3121,415,3260,5274,151385
2029,2040,1554,1429,1320,816,246,570,504,14670,14781,10051,9280,3341,511,3302,5333,152039
2097,2108,1605,1457,1297,785,218,567,512,14886,14997,10067,8960,3150,446,3214,5342,152724
2194,2204,1659,1500,1365,832,232,600,533,15029,15136,10038,9140,3207,458,3260,5466,153336
2237,2250,1711,1539,1332,794,200,594,539,15229,15351,10221,8846,3032,391,3200,5481,153947
2275,2287,1731,1552,1343,798,195,602,546,15472,15598,10290,8908,3051,382,3252,5524,154655
2295,2309,1753,1562,1363,810,196,614,553,15433,15564,10223,8918,3061,379,3275,5512,155389
2308,2321,1759,1561,1366,805,197,607,561,15532,15656,10176,8901,3034,380,3234,5557,156033
2307,2320,1778,1574,1387,815,198,617,572,15503,15628,10264,9040,3090,385,3297,5622,156644
2340,2352,1815,1610,1397,813,187,626,583,15548,15671,10425,9045,3073,361,3340,5672,157324
2412,2425,1849,1640,1442,848,213,635,594,15985,16106,10601,9322,3214,421,3374,5726,158043
2449,2461,1870,1660,1459,855,222,634,604,16221,16340,10689,9397,3244,434,3382,5763,158648
2463,2476,1888,1678,1465,851,220,631,613,16287,16412,10788,9419,3238,430,3385,5810,159234
2449,2460,1879,1671,1463,840,216,624,622,16122,16236,10688,9354,3196,425,3338,5819,159963
2405,2416,1870,1665,1452,832,210,622,621,15803,15916,10602,9249,3162,411,3328,5749,160713
2391,2404,1862,1675,1459,831,204,627,628,15664,15784,10612,9244,3147,397,3346,5778,161389
2386,2399,1852,1667,1470,833,208,625,637,15617,15736,10579,9326,3165,414,3323,5854,162044
2405,2418,1856,1672,1478,832,204,628,646,15722,15841,10642,9410,3184,414,3350,5929,162792
2447,2462,1880,1694,1500,847,214,632,654,15951,16081,10794,9560,3257,438,3390,5971,163585
2519,2534,1911,1720,1533,870,234,636,662,16338,16471,10924,9735,3343,475,3411,6016,164266
2560,2575,1949,1753,1557,890,247,643,667,16537,16669,11120,9881,3423,499,3460,6036,164926
2601,2616,1985,1784,1576,902,256,645,674,16684,16817,11273,9958,3455,512,3467,6071,165674
2630,2645,2006,1801,1592,904,249,655,688,16703,16837,11350,10034,3463,497,3521,6161,166481
2635,2652,2031,1819,1594,898,237,661,696,16568,16713,11418,10008,3433,472,3545,6194,167190
2661,2678,2057,1841,1604,900,237,663,704,16637,16781,11479,10001,3414,471,3522,6228,167869
2680,2697,2079,1860,1616,902,235,667,714,16546,16692,11484,9977,3384,460,3508,6264,168654
2721,2737,2113,1890,1640,915,245,671,724,16733,16865,11601,10064,3415,473,3519,6314,169497
2765,2783,2131,1904,1659,928,250,678,730,16770,16919,11586,10090,3433,479,3525,6312,170218
2766,2786,2150,1922,1665,928,247,682,737,16664,16822,11620,10067,3406,466,3524,6340,170915
2798,2817,2168,1940,1684,939,244,695,745,16751,16903,11631,10101,3420,461,3557,6357,171684
2758,2773,2154,1929,1686,931,240,690,755,16505,16630,11509,10059,3377,453,3517,6397,172463
2705,2721,2151,1931,1677,920,228,692,757,16016,16143,11379,9884,3284,421,3473,6365,173116
2721,2736,2157,1940,1687,920,222,697,768,16060,16188,11411,9927,3282,413,3491,6433,173781
2788,2803,2195,1972,1709,931,226,705,779,16360,16485,11590,10047,3329,420,3539,6492,174535
2854,2869,2211,1986,1724,940,232,708,784,16666,16790,11678,10135,3378,434,3571,6504,175340
